first_word	n_prompts_HP	mean_log_prob_HP	n_prompts_LP	mean_log_prob_LP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(-_-;)	20	-19.929909706115723	20	-21.920845222473144	20	-21.781993770599364	20	-21.012629795074464	20	-20.42162628173828	20	-23.091813373565675	0.4374316949456317	0.05973899868383853	0.06863732639412605	0.14814632663545965	0.26752258485795843	0.018523068482985582	HP	0.4374316949456317	7	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(-‸–)	20	-40.42113037109375	20	-41.27500629425049	20	-41.66911354064941	20	-41.54246425628662	20	-41.7313009262085	20	-42.2100191116333	0.40394093870888176	0.17198250436004156	0.11596466195826198	0.13162208063100844	0.10897277940857046	0.06751703493323591	HP	0.40394093870888176	6	False	3.0	HN-D	0.0	0.0	1.0	1.0	1.0	0.0	False
(..)	20	-17.02947120666504	20	-16.55532579421997	20	-17.223453569412232	20	-16.69127631187439	20	-16.828756523132324	20	-17.996793460845947	0.15539768497617043	0.24966822914180595	0.12799678902747966	0.21793185788563693	0.18993885871992586	0.05906658024898123	LP	0.24966822914180595	5	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(._.)	20	-20.53247480392456	20	-21.031668186187744	20	-21.16122226715088	20	-20.820250606536867	20	-21.10373811721802	20	-21.75751361846924	0.26675438522735617	0.1619252723871973	0.1422492593458987	0.20004703760080195	0.1506659321766548	0.07835811326209108	HP	0.26675438522735617	5	False	1.0	LN	0.0	0.0	0.0	0.0	1.0	0.0	False
(/≧▽≦)	20	-32.744077587127684	20	-34.42017250061035	20	-34.71768627166748	20	-34.01385335922241	20	-33.942184352874754	20	-35.264882469177245	0.502736857343832	0.09406367751479004	0.06985755234818718	0.14121606800897885	0.15170837933170264	0.0404174654525092	HP	0.502736857343832	7	False	1.0	LP	0.0	1.0	0.0	0.0	0.0	0.0	False
(/▽＼)	20	-33.61090269088745	20	-33.87904405593872	20	-34.60565700531006	20	-33.145005989074704	20	-33.462686252594	20	-34.59367370605469	0.19003845870356703	0.14534134813169844	0.07027893794828112	0.30281533604446265	0.2203997414536466	0.07112617771834419	HN-S	0.30281533604446265	6	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(;'ω';)	20	-35.06659202575683	20	-36.39485969543457	20	-36.61136798858642	20	-36.477165412902835	20	-36.23159465789795	20	-38.23114013671875	0.48159027629153517	0.12759051492299922	0.10275194067404715	0.11750963335461007	0.1502185255930153	0.020339109163793147	HP	0.48159027629153517	7	False	1.0	HN-S	0.0	0.0	0.0	1.0	0.0	0.0	False
(;;)	20	-23.750819206237793	20	-25.278742218017577	20	-24.185507678985594	20	-24.387995338439943	20	-24.247639751434328	20	-26.534178066253663	0.3264209995886898	0.07082874677695859	0.21134660960015497	0.17260604924307413	0.19861482826547058	0.020182766525652072	HP	0.3264209995886898	5	False	6.0	LN	0.0	0.0	0.0	0.0	6.0	0.0	False
(;;_;;)	20	-40.941629028320314	20	-42.70676975250244	20	-40.33801536560058	20	-39.890652084350585	20	-40.87970027923584	20	-44.56520462036133	0.14386634879789093	0.024624552420197992	0.2630905837982078	0.41152166978945043	0.15305747192094035	0.0038393732733125207	HN-S	0.41152166978945043	8	False	2.0	HN-S	0.0	0.0	0.0	2.0	0.0	0.0	True
(;_;)	20	-21.799995517730714	20	-24.12807273864746	20	-22.571683979034425	20	-23.015726184844972	20	-23.025407695770262	20	-25.522558403015136	0.4599780389537926	0.044840041603377484	0.21261654511774697	0.13638040542178187	0.13506640804027742	0.011118560863023635	HP	0.4599780389537926	6	False	3.0	LN	0.0	0.0	0.0	1.0	2.0	0.0	False
(;`ﾉωﾉ´)	20	-55.71704788208008	20	-56.8390007019043	20	-56.537719345092775	20	-56.858507347106936	20	-56.642259216308595	20	-59.139194297790525	0.39773738473426357	0.12952049489055423	0.1750585496037774	0.12701846697225042	0.1576820424536034	0.012983061345550974	HP	0.39773738473426357	10	False	1.0	LP	0.0	1.0	0.0	0.0	0.0	0.0	False
(;¬_¬)	20	-28.852606296539307	20	-31.352795696258546	20	-29.765972995758055	20	-29.853235721588135	20	-29.701588916778565	20	-32.39759407043457	0.43334921921471486	0.03556473347443875	0.17384728034024763	0.15931995705905347	0.1854084619352793	0.012510347976265997	HP	0.43334921921471486	7	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(;´д`)	20	-30.151659870147704	20	-33.39589557647705	20	-31.821128368377686	20	-32.59930210113525	20	-32.01587543487549	20	-34.696583938598636	0.6759124575387823	0.026359476785845173	0.12730618224310689	0.0584645937512156	0.10477843756025434	0.007178852120795786	HP	0.6759124575387823	8	True	40.0	LN	0.0	0.0	5.0	8.0	27.0	0.0	False
(;´д`ｿ)	20	-52.880235862731936	20	-55.51711864471436	20	-53.321047973632815	20	-53.76766014099121	20	-53.61506271362305	20	-56.97401180267334	0.3812316372275226	0.027290110399458858	0.24532774498600268	0.15695872675132921	0.1828343060411148	0.006357474594571683	HP	0.3812316372275226	9	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(;´༎ຶд༎ຶ`)	20	-69.16241493225098	20	-70.78015670776367	20	-68.88764305114746	20	-69.71728210449218	20	-69.60613327026367	20	-72.3289951324463	0.2650749013043276	0.05257657387611978	0.348899639025267	0.1521923620060271	0.17008428264694664	0.011172241141311923	HN-D	0.348899639025267	10	False	12.0	LN	0.0	0.0	0.0	5.0	7.0	0.0	False
(;´∀`)	20	-32.72646026611328	20	-34.11524696350098	20	-33.21757287979126	20	-34.15157423019409	20	-33.51058664321899	20	-35.340544891357425	0.380003161754798	0.09476431133834988	0.23254109437644777	0.09138356141092095	0.17347841735270095	0.02782945376678232	HP	0.380003161754798	8	False	2.0	LN	0.0	0.0	0.0	0.0	2.0	0.0	False
(;´ヮ`)	20	-34.627154159545896	20	-36.126528358459474	20	-35.1825029373169	20	-35.42744884490967	20	-35.49701042175293	20	-37.28525390625	0.36557303336552716	0.08162143228255017	0.2097921542949748	0.1642141537528524	0.15317940477890693	0.02561982152518872	HP	0.36557303336552716	8	True	1.0	LN	0.0	0.0	0.0	0.0	1.0	0.0	False
(;´꒳`)	20	-54.28810062408447	20	-56.10115833282471	20	-54.77050609588623	20	-54.94488124847412	20	-55.059189033508304	20	-57.103177070617676	0.3544366450721539	0.05782793161932725	0.21879257653782996	0.18378176415671305	0.1639302781631755	0.021230804450800177	HP	0.3544366450721539	8	False	1.0	LN	0.0	0.0	0.0	0.0	1.0	0.0	False
(;ω;)	20	-25.73593940734863	20	-27.922054862976076	20	-26.69787731170654	20	-27.085440826416015	20	-26.92082347869873	20	-29.125864887237547	0.4776994845592653	0.053670654755133426	0.1825536198071842	0.12390069801587929	0.14607172526887452	0.01610381759366338	HP	0.4776994845592653	6	False	47.0	LN	2.0	0.0	0.0	8.0	37.0	0.0	False
(;д;)	20	-25.3254412651062	20	-27.850309467315675	20	-25.53397226333618	20	-26.208547019958495	20	-26.174669647216795	20	-29.020208072662353	0.36258952936189665	0.029032132073563494	0.29434143090351134	0.14992957239901258	0.1550958075575226	0.009011527704493354	HP	0.36258952936189665	6	False	1.0	HN-S	0.0	0.0	0.0	1.0	0.0	0.0	False
(;′⌒`)	20	-61.08467903137207	20	-62.112054443359376	20	-61.18337001800537	20	-61.138610649108884	20	-61.344832229614255	20	-63.176333808898924	0.24355309934476152	0.08717865979880354	0.22066462153119773	0.23076580570577543	0.18776323627592117	0.030074577343540704	HP	0.24355309934476152	7	False	25.0	HN-S	0.0	0.0	6.0	14.0	5.0	0.0	False
(;⁎_⁎)	20	-45.583174514770505	20	-47.77163543701172	20	-46.613633728027345	20	-46.715145111083984	20	-46.41956844329834	20	-49.01812858581543	0.4431000780493393	0.0496667021699382	0.1581171859102658	0.1428542754729161	0.19198202077023954	0.014279737627301142	HP	0.4431000780493393	7	False	1.0	HN-S	0.0	0.0	0.0	1.0	0.0	0.0	False
(;⌒_⌒)	20	-45.583174514770505	20	-47.77163543701172	20	-46.613633728027345	20	-46.715145111083984	20	-46.41956844329834	20	-49.01258602142334	0.44306491371154383	0.04966276062991415	0.15810463776050898	0.14284293858482444	0.19196678511363857	0.014357964199570075	HP	0.44306491371154383	7	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(;╹⌓╹)	20	-35.15937671661377	20	-35.800743865966794	20	-35.64820404052735	20	-35.531525421142575	20	-36.013281631469724	20	-37.279107856750485	0.2962978704874622	0.15602217088136525	0.18173288490159303	0.2042238228059673	0.12614857168678303	0.03557467923682907	HP	0.2962978704874622	5	True	1.0	LN	0.0	0.0	0.0	0.0	1.0	0.0	False
(;へ:)	20	-30.542872810363768	20	-32.497287368774415	20	-30.919390964508057	20	-31.160969257354736	20	-31.483131313323973	20	-33.037369918823245	0.35212156896284463	0.04987709722419713	0.24164225038682308	0.1897827572972117	0.1375129341714894	0.02906339195743409	HP	0.35212156896284463	6	False	1.0	HP	1.0	0.0	0.0	0.0	0.0	0.0	True
(;゚д゚)	20	-28.432496643066408	20	-30.261073303222656	20	-29.170689392089844	20	-29.558746528625488	20	-29.787048053741454	20	-30.626472568511964	0.4287426228574038	0.06887409530108651	0.20492909538632748	0.13901848454251137	0.11064262155038442	0.04779308036228646	HP	0.4287426228574038	7	True	1.0	HN-S	0.0	0.0	0.0	1.0	0.0	0.0	False
(;・`O・´)	20	-55.8480920791626	20	-56.85960731506348	20	-56.438704872131346	20	-56.13584861755371	20	-56.332712936401364	20	-57.72787857055664	0.29102315166176446	0.10583566776898812	0.16122324670648808	0.21825111086720653	0.17925008716275073	0.044416735832802166	HP	0.29102315166176446	10	False	1.0	HN-S	0.0	0.0	0.0	1.0	0.0	0.0	False
(;・∀・)	20	-25.016843605041505	20	-25.920980167388915	20	-25.58981466293335	20	-25.665052223205567	20	-25.568652534484862	20	-27.08959035873413	0.313139234354184	0.12678736189954629	0.17656284440114484	0.16376611987535947	0.1803391059317055	0.0394053335380601	HP	0.313139234354184	7	True	2.0	HN-D	0.0	0.0	1.0	1.0	0.0	0.0	False
(;一_一)	20	-30.462951183319092	20	-32.81507816314697	20	-31.91993989944458	20	-32.24666919708252	20	-31.979530334472656	20	-34.33780040740967	0.5759259555479734	0.05480887444166942	0.13415426738469957	0.09676265160204688	0.12639348679736584	0.011954764226244956	HP	0.5759259555479734	7	False	2.0	HN-S	0.0	0.0	0.0	1.0	1.0	0.0	False
(;︵;)	20	-29.794839572906493	20	-31.798681926727294	20	-29.85893907546997	20	-30.113715839385986	20	-30.135616874694826	20	-33.06931552886963	0.28178956823296675	0.03798981990591546	0.2642937246066217	0.20485129260167742	0.20041360951478493	0.010661985138033835	HP	0.28178956823296675	6	True	1.0	HN-D	0.0	0.0	1.0	0.0	0.0	0.0	False
(;﹏;)	20	-21.799995517730714	20	-24.12807273864746	20	-22.571683979034425	20	-23.015726184844972	20	-23.025407695770262	20	-25.522558403015136	0.4599780389537926	0.044840041603377484	0.21261654511774697	0.13638040542178187	0.13506640804027742	0.011118560863023635	HP	0.4599780389537926	6	False	1.0	HN-S	0.0	0.0	0.0	1.0	0.0	0.0	False
(;ﾟдﾟ)	20	-28.432496643066408	20	-30.261073303222656	20	-29.170689392089844	20	-29.558746528625488	20	-29.787048053741454	20	-30.626472568511964	0.4287426228574038	0.06887409530108651	0.20492909538632748	0.13901848454251137	0.11064262155038442	0.04779308036228646	HP	0.4287426228574038	7	True	1.0	HN-S	0.0	0.0	0.0	1.0	0.0	0.0	False
(;￣д￣)	20	-30.590531158447266	20	-33.791082763671874	20	-32.08622798919678	20	-32.42004585266113	20	-31.95826816558838	20	-34.7228982925415	0.589604889352273	0.02402034136563875	0.13212597225341255	0.09462653554240545	0.15016213740485548	0.009460124081414877	HP	0.589604889352273	9	True	1.0	HN-D	0.0	0.0	1.0	0.0	0.0	0.0	False
(;￣□￣)	20	-31.814479446411134	20	-35.23081398010254	20	-33.86468515396118	20	-33.58108434677124	20	-33.3481632232666	20	-36.13528289794922	0.6404172763750614	0.021026539479176463	0.08242709870947904	0.10945516987297672	0.13816328099906938	0.008510634564237236	HP	0.6404172763750614	9	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(=^-^=)	20	-30.65143451690674	20	-31.598054122924804	20	-31.8608980178833	20	-31.565076446533205	20	-31.41691303253174	20	-32.726534080505374	0.37339569909828263	0.14489641485334306	0.11140533444496552	0.14975442460935856	0.17367056450511578	0.04687756248893437	HP	0.37339569909828263	8	False	6.0	LP	0.0	2.0	0.0	1.0	2.0	1.0	False
(=^-ω-^=)	20	-38.88727207183838	20	-40.433309364318845	20	-40.369245529174805	20	-39.89668292999268	20	-39.9974588394165	20	-42.00217342376709	0.45901173516593385	0.097811140741322	0.10428237032617883	0.16727930800912955	0.15124318060205041	0.020372265155385497	HP	0.45901173516593385	10	False	22.0	NB	2.0	4.0	3.0	4.0	3.0	6.0	False
(=^-ω^-=)	20	-45.61300182342529	20	-48.453218650817874	20	-48.3067066192627	20	-46.655250549316406	20	-47.21816749572754	20	-49.70383281707764	0.5895234806309404	0.034435834515820066	0.03986942561253778	0.20790179415648966	0.1184094908350248	0.009859974249187282	HP	0.5895234806309404	10	False	1.0	LP	0.0	1.0	0.0	0.0	0.0	0.0	False
(=^_^=)	20	-27.7063099861145	20	-28.54913444519043	20	-29.129602718353272	20	-28.587174034118654	20	-28.63695659637451	20	-29.700865936279296	0.38223235256304994	0.16454831205696335	0.09208719907981198	0.15840651815062906	0.15071370838379575	0.05201190976575009	HP	0.38223235256304994	8	False	2.0	LP	0.0	1.0	0.0	0.0	1.0	0.0	False
(=^‿^=)	20	-38.82840061187744	20	-37.85455741882324	20	-38.87776355743408	20	-38.412445831298825	20	-38.720892333984374	20	-39.31551265716553	0.12749161179214674	0.337610804352301	0.12135105512335659	0.19325399368388763	0.14196191969312777	0.07833061535518031	LP	0.337610804352301	8	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(=^・^=)	20	-29.892736434936523	20	-30.44348363876343	20	-31.308463954925536	20	-30.55028486251831	20	-30.55605878829956	20	-31.948028659820558	0.33550514374815316	0.19342504712238137	0.08144351951314927	0.1738319208613342	0.17283112030633963	0.04296324844864254	HP	0.33550514374815316	8	False	1.0	LP	0.0	1.0	0.0	0.0	0.0	0.0	False
(=^・ω・^=)	20	-30.9393009185791	20	-32.262462043762206	20	-32.46908092498779	20	-32.02704267501831	20	-31.799728393554688	20	-33.9610954284668	0.43638641244780724	0.11620629220600616	0.0945140132172826	0.14705201408252536	0.18458326139412673	0.021258006652251964	HP	0.43638641244780724	10	False	19.0	LP	0.0	13.0	1.0	0.0	1.0	4.0	False
(=^・ｪ・^=)	20	-30.971268939971925	20	-31.73927812576294	20	-31.913935661315918	20	-31.525039768218996	20	-31.237047290802003	20	-33.26520090103149	0.3034183373698547	0.14076661678030017	0.11820799985241652	0.17439828477576896	0.23260323636253702	0.030605524859122667	HP	0.3034183373698547	10	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(=`ω´=)	20	-39.73484153747559	20	-45.389640426635744	20	-43.4699893951416	20	-42.870038986206055	20	-41.53760414123535	20	-46.39004955291748	0.8084128958206126	0.002829992463334554	0.01929652600586959	0.035158819211016525	0.1332610963058703	0.0010406701932963976	HP	0.8084128958206126	9	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(=ↀωↀ=)	20	-57.26477127075195	20	-58.22576084136963	20	-59.01229000091553	20	-58.23949356079102	20	-57.786279296875	20	-60.299734115600586	0.38824124860569037	0.14850778046006058	0.0676338225155816	0.14648230425883046	0.2304695835210175	0.01866526063881941	HP	0.38824124860569037	8	False	1.0	LP	0.0	1.0	0.0	0.0	0.0	0.0	False
(=⌒‿‿⌒=)	20	-58.86972713470459	20	-58.090639686584474	20	-59.445197105407715	20	-58.866914939880374	20	-58.13016891479492	20	-60.3539176940918	0.14151408068429952	0.30842745767326707	0.07959324692022124	0.1419126059522588	0.29647338253396366	0.03207922623598978	LP	0.30842745767326707	9	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(>^_^)	20	-32.69537324905396	20	-35.35487308502197	20	-35.502868843078616	20	-34.35678424835205	20	-34.83930358886719	20	-36.380028533935544	0.6837563763771822	0.04785147023408069	0.04126877188501569	0.12982542715891174	0.08013168464573509	0.017166269699074692	HP	0.6837563763771822	7	False	1.0	LP	0.0	1.0	0.0	0.0	0.0	0.0	False
(>_<)	20	-25.02100877761841	20	-27.74064407348633	20	-27.356526470184328	20	-26.060204029083252	20	-26.225500679016115	20	-28.721952056884767	0.5431998924226664	0.035796212163958965	0.052560226610747315	0.19215111634191667	0.16287539763667935	0.013417154824031321	HP	0.5431998924226664	6	True	45.0	HN-S	0.0	2.0	8.0	32.0	2.0	1.0	False
(>_<;)	20	-31.032186698913574	20	-33.84282236099243	20	-33.285264778137204	20	-31.929444789886475	20	-32.17626638412476	20	-35.32006435394287	0.524885074665805	0.03158062094228138	0.05515245468774281	0.21398827894931594	0.16718477669301574	0.007208794061839144	HP	0.524885074665805	7	True	14.0	HN-S	0.0	0.0	0.0	14.0	0.0	0.0	False
(>ω<)	20	-29.89137907028198	20	-32.938633632659915	20	-32.630229759216306	20	-31.741124534606932	20	-31.906213092803956	20	-33.83466215133667	0.7031666794040539	0.03339276963763042	0.04545592940527081	0.11059208216370651	0.09376202642489304	0.01363051296444551	HP	0.7031666794040539	6	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(>ω<*	20	-38.72575359344482	20	-42.48238315582275	20	-42.37397994995117	20	-41.20362453460693	20	-41.337462997436525	20	-43.950287628173825	0.8250054899514656	0.01927406632179658	0.02148088960514944	0.06923587129544315	0.060562787500346514	0.004440895325798632	HP	0.8250054899514656	6	False	1.0	HP	1.0	0.0	0.0	0.0	0.0	0.0	True
(>‿<)	20	-31.996843910217287	20	-33.37060174942017	20	-33.3930118560791	20	-33.268096351623534	20	-32.95834789276123	20	-34.64557094573975	0.4475802140340987	0.11330665811751663	0.11079568450325407	0.12553735070639824	0.17111772815268725	0.03166236448604504	HP	0.4475802140340987	6	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(>‿◕)	20	-40.532989501953125	20	-41.61205787658692	20	-41.898114395141604	20	-41.581214141845706	20	-41.619782257080075	20	-42.638640594482425	0.41582058981090486	0.14134242864434093	0.10617928141852018	0.14576988568198532	0.14025485178202793	0.05063296266222083	HP	0.41582058981090486	6	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(>‿◕✨)	20	-40.532989501953125	20	-41.61205787658692	20	-41.898114395141604	20	-41.581214141845706	20	-41.619782257080075	20	-42.638640594482425	0.41582058981090486	0.14134242864434093	0.10617928141852018	0.14576988568198532	0.14025485178202793	0.05063296266222083	HP	0.41582058981090486	6	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(>‿◠)	20	-40.532989501953125	20	-41.61205787658692	20	-41.898114395141604	20	-41.581214141845706	20	-41.619782257080075	20	-42.64269752502442	0.41590584980289064	0.1413714095429033	0.10620105245368443	0.14579977438781072	0.14028360968346887	0.05043830412924206	HP	0.41590584980289064	6	False	3.0	HN-S	0.0	0.0	0.0	2.0	1.0	0.0	False
(>‿◼︵◼<)	20	-78.12510604858399	20	-76.9991641998291	20	-77.059330368042	20	-76.28680381774902	20	-78.11248741149902	20	-78.33862953186035	0.06625808250358009	0.20428157387201132	0.1923531754982494	0.41648884907275696	0.06709946659646104	0.05351885245694125	HN-S	0.41648884907275696	9	False	1.0	LP	0.0	1.0	0.0	0.0	0.0	0.0	False
(>∀<☆)	20	-45.71281852722168	20	-47.613563537597656	20	-47.988687133789064	20	-46.9304859161377	20	-47.426283264160155	20	-48.52881507873535	0.5592310111297313	0.08358111815967466	0.05743730694939741	0.1654874327198696	0.10079592302956784	0.03346720801175912	HP	0.5592310111297313	7	True	14.0	HP	14.0	0.0	0.0	0.0	0.0	0.0	True
(>﹏<)	20	-25.02100877761841	20	-27.74064407348633	20	-27.356526470184328	20	-26.060204029083252	20	-26.225500679016115	20	-28.721952056884767	0.5431998924226664	0.035796212163958965	0.052560226610747315	0.19215111634191667	0.16287539763667935	0.013417154824031321	HP	0.5431998924226664	6	True	29.0	HN-S	1.0	0.0	4.0	17.0	7.0	0.0	False
(>﹏<｡)	20	-34.13770046234131	20	-35.4405632019043	20	-35.150804710388186	20	-34.11630134582519	20	-34.556129169464114	20	-37.05863742828369	0.2968737030185881	0.08067623663612296	0.10779190446773167	0.3032949979634929	0.1953666596457337	0.015996498268330633	HN-S	0.3032949979634929	7	False	7.0	HN-S	0.0	0.0	0.0	7.0	0.0	0.0	True
(O_O)	20	-25.198830223083498	20	-27.629611873626708	20	-28.33545093536377	20	-28.240776920318602	20	-27.451694393157958	20	-28.406418228149413	0.754892992739311	0.06640646108130421	0.03278448205804553	0.03603999559439201	0.07933757402398567	0.030538494502961772	HP	0.754892992739311	6	False	1.0	HN-S	0.0	0.0	0.0	1.0	0.0	0.0	False
(OwO)	20	-35.2126277923584	20	-37.506940841674805	20	-38.16659107208252	20	-37.601646423339844	20	-37.9146369934082	20	-37.658695983886716	0.7151095570509577	0.07210495084389378	0.03728057739931795	0.06558959867658744	0.04796284058185816	0.06195247544738503	HP	0.7151095570509577	6	False	1.0	HP	1.0	0.0	0.0	0.0	0.0	0.0	True
(T-T)	20	-21.674152755737303	20	-25.770774555206298	20	-25.75518913269043	20	-24.787592697143555	20	-24.330664539337157	20	-27.249989223480224	0.8680951547441337	0.014435342421738554	0.014662085687598157	0.0385849148282356	0.060933892702767764	0.0032886096155262385	HP	0.8680951547441337	6	False	8.0	LN	0.0	0.0	0.0	1.0	7.0	0.0	False
(T^T)	20	-25.488591575622557	20	-28.028771305084227	20	-28.436012268066406	20	-27.74097099304199	20	-27.54051971435547	20	-28.922855854034424	0.715711056609613	0.056435410307704305	0.037556852097101065	0.07525611146936306	0.09195951212245136	0.023081057393767056	HP	0.715711056609613	6	False	1.0	HP	1.0	0.0	0.0	0.0	0.0	0.0	True
(T_T)	20	-20.051465034484863	20	-23.081100177764892	20	-22.89265642166138	20	-21.957004261016845	20	-21.4634991645813	20	-23.988052463531496	0.65850400475204	0.03182765161254007	0.038427725435566204	0.09794747604421623	0.1604426363387785	0.01285050581685907	HP	0.65850400475204	6	False	22.0	LN	0.0	0.0	2.0	2.0	18.0	0.0	False
(T▽T)	20	-29.138661098480224	20	-30.138529300689697	20	-30.59766569137573	20	-30.038386344909668	20	-30.207681083679198	20	-31.61813430786133	0.41081105843462534	0.15114886237736075	0.09550024415334549	0.16706920880167914	0.14104985532670822	0.034420770906280956	HP	0.41081105843462534	6	False	2.0	HP	2.0	0.0	0.0	0.0	0.0	0.0	True
(^	20	-17.43338499069214	20	-17.86162223815918	20	-18.32182378768921	20	-17.91306939125061	20	-18.11862087249756	20	-19.073288249969483	0.2958664772428744	0.19280339957847847	0.12168910409848317	0.18313505051030454	0.1491082243711542	0.05739774419870524	HP	0.2958664772428744	3	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
