first_word	ensemble_pred	ensemble_conf	majority_pred	vote_strength	n_encoders_voting	empirical	total_emit_count	is_claude	ensemble_p_HP	ensemble_p_LP	ensemble_p_HN-D	ensemble_p_HN-S	ensemble_p_LN	ensemble_p_NB	gemma_pred	gemma_conf	ministral_pred	ministral_conf	qwen_pred	qwen_conf	gpt_oss_20b_pred	gpt_oss_20b_conf	granite_pred	granite_conf
(=^・ｪ・^=)	LP	0.385	LP	3-1-1	5	nan	0	False	0.1762	0.385	0.0991	0.0812	0.0888	0.1698	HP	0.506	LP	0.598	HN-S	0.198	LP	0.216	LP	0.965
(=`ω´=)	HN-D	0.2882		2-1-1-1	5	nan	0	False	0.072	0.1813	0.2882	0.1063	0.1248	0.2274	HN-D	0.954	NB	0.295	HP	0.197	HN-S	0.253	NB	0.577
(=ↀωↀ=)	LN	0.2813		1-1-1-1-1	5	LP	1	False	0.075	0.0999	0.2471	0.1192	0.2813	0.1776	HN-D	0.769	NB	0.403	HP	0.202	HN-S	0.254	LN	0.832
(=⌒‿‿⌒=)	NB	0.3032	LP	3-1-1	5	nan	0	False	0.0591	0.2472	0.0527	0.0596	0.2783	0.3032	LN	0.959	LP	0.627	LP	0.221	LP	0.386	NB	0.986
(>^_^)	HP	0.3179		2-1-1-1	5	LP	1	False	0.3179	0.1962	0.074	0.0801	0.2161	0.1158	HP	1.0	LP	0.395	HP	0.194	HN-S	0.202	LN	0.703
(>_<)	LN	0.3286		2-1-1-1	5	HN-S	44	False	0.049	0.0439	0.2329	0.2946	0.3286	0.051	HN-S	0.806	HN-D	0.397	LP	0.181	HN-D	0.456	LN	0.996
(>_<;)	HN-S	0.36		2-2-1	5	HN-S	13	False	0.0373	0.0428	0.1632	0.36	0.3548	0.042	HN-S	0.967	LN	0.549	HN-D	0.177	HN-S	0.469	LN	0.913
(>ω<)	LN	0.3116		1-1-1-1-1	5	nan	0	False	0.2702	0.1019	0.1207	0.0938	0.3116	0.1019	HP	0.999	NB	0.288	LP	0.207	HN-D	0.357	LN	0.998
(>ω<*	HP	0.3083		2-1-1-1	5	HP	1	False	0.3083	0.1296	0.0769	0.1095	0.2898	0.0859	HP	1.0	LP	0.341	LP	0.224	HN-S	0.373	LN	0.997
(>‿◠)	LN	0.3097		2-1-1-1	5	HN-S	3	False	0.2819	0.1187	0.0959	0.0874	0.3097	0.1064	HP	0.998	LP	0.307	HP	0.188	HN-D	0.254	LN	0.991
(>‿◼︵◼<)	LN	0.3386		2-2-1	5	LP	1	False	0.2774	0.1117	0.0808	0.1104	0.3386	0.0812	HP	0.977	LN	0.389	HP	0.227	HN-S	0.271	LN	0.974
(>∀<☆)	HP	0.2714		2-1-1-1	5	HP	1	True	0.2714	0.1253	0.0892	0.1075	0.2651	0.1415	HP	1.0	NB	0.475	HP	0.2	HN-S	0.281	LN	0.912
(>﹏<)	LN	0.3371		2-2-1	5	HN-S	25	True	0.0537	0.0603	0.1799	0.304	0.3371	0.0651	HN-S	0.908	LN	0.344	HN-S	0.185	HN-D	0.424	LN	0.994
(>﹏<｡)	HN-S	0.3118		2-2-1	5	HN-S	7	False	0.1009	0.0771	0.151	0.3118	0.2863	0.0729	HN-S	0.697	LN	0.349	LP	0.218	HN-S	0.373	LN	0.71
(O_O)	HN-S	0.3287		2-1-1-1	5	HN-S	1	False	0.1327	0.0279	0.1631	0.3287	0.2521	0.0955	HN-S	0.843	HN-D	0.46	HP	0.432	HN-S	0.345	LN	0.951
(OwO)	NB	0.2844		2-1-1-1	5	HP	1	False	0.1821	0.0757	0.0694	0.1288	0.2596	0.2844	NB	0.807	HP	0.296	HP	0.501	HN-S	0.327	LN	0.926
(T-T)	LN	0.4466	LN	4-1	5	LN	8	False	0.1776	0.0263	0.1204	0.1707	0.4466	0.0584	HP	0.696	LN	0.361	LN	0.593	LN	0.274	LN	0.998
(T^T)	LN	0.3672	NB	3-2	5	HP	1	False	0.1702	0.0839	0.0528	0.0717	0.3672	0.2543	NB	0.508	NB	0.36	LN	0.566	NB	0.372	LN	0.997
(T_T)	LN	0.4618	LN	4-1	5	LN	22	False	0.0292	0.0261	0.1205	0.2918	0.4618	0.0705	HN-S	0.844	LN	0.272	LN	0.628	LN	0.282	LN	1.0
(T▽T)	LN	0.3751		2-1-1-1	5	HP	2	False	0.2692	0.1315	0.0421	0.0546	0.3751	0.1276	HP	0.997	LP	0.453	LN	0.648	NB	0.202	LN	0.999
(^	NB	0.5422	NB	5	5	nan	0	False	0.0781	0.2574	0.0273	0.0365	0.0584	0.5422	NB	0.698	NB	0.514	NB	0.568	NB	0.28	NB	0.651
(^-^)	NB	0.57	NB	5	5	LP	37	False	0.0826	0.2351	0.0248	0.0313	0.0562	0.57	NB	0.978	NB	0.427	NB	0.638	NB	0.337	NB	0.47
(^.^)	NB	0.4737	NB	4-1	5	LP	2	False	0.0507	0.3407	0.0288	0.0461	0.0599	0.4737	NB	0.86	NB	0.438	NB	0.586	NB	0.275	LP	0.791
(^^)	NB	0.5601	NB	4-1	5	LP	2	False	0.1079	0.2515	0.016	0.0324	0.0321	0.5601	NB	0.952	NB	0.663	NB	0.416	HP	0.263	NB	0.535
(^_^)	NB	0.6514	NB	5	5	NB	44	False	0.0974	0.1592	0.0181	0.0289	0.0451	0.6514	NB	0.852	NB	0.574	NB	0.477	NB	0.404	NB	0.95
(^_^;)	LN	0.3521	LN	3-1-1	5	NB	2	False	0.0244	0.0891	0.1012	0.2818	0.3521	0.1513	HN-S	0.813	LN	0.497	NB	0.468	LN	0.29	LN	0.847
(^_~)	NB	0.6303	NB	5	5	HP	1	False	0.0586	0.1779	0.0247	0.0459	0.0626	0.6303	NB	0.931	NB	0.466	NB	0.472	NB	0.322	NB	0.96
(^_−)	NB	0.543	NB	5	5	NB	3	False	0.1454	0.1559	0.0414	0.0502	0.0641	0.543	NB	0.537	NB	0.483	NB	0.462	NB	0.277	NB	0.956
(^o^)	NB	0.4248	NB	3-2	5	HP	6	False	0.2366	0.2089	0.0261	0.0497	0.054	0.4248	HP	0.663	NB	0.515	NB	0.555	HP	0.36	NB	0.548
(^‿^)	LP	0.4514	NB	3-2	5	LP	13	False	0.0917	0.4514	0.0162	0.0215	0.0326	0.3865	NB	0.545	LP	0.529	NB	0.53	NB	0.359	LP	0.834
(^▽^)	NB	0.5284	NB	4-1	5	NB	15	False	0.121	0.2697	0.0166	0.024	0.0402	0.5284	NB	0.7	NB	0.484	NB	0.437	HP	0.289	NB	0.742
(^・ω・^)	NB	0.5516	NB	4-1	5	LP	2	False	0.0667	0.2985	0.0185	0.0259	0.0387	0.5516	NB	0.803	NB	0.571	LP	0.459	NB	0.334	NB	0.701
(__)	LN	0.2595		2-1-1-1	5	LN	1	False	0.1029	0.2233	0.0662	0.1118	0.2595	0.2363	NB	0.415	HP	0.268	LN	0.452	LP	0.245	LN	0.414
(`_´)	LN	0.4935	LN	4-1	5	nan	0	False	0.0261	0.0613	0.1575	0.1463	0.4935	0.1152	LN	0.964	LN	0.524	LN	0.343	HN-S	0.299	LN	0.396
(`⇧´)	NB	0.306		2-1-1-1	5	HP	2	False	0.2491	0.0893	0.059	0.1087	0.1878	0.306	HP	0.91	LN	0.534	LN	0.3	HN-S	0.271	NB	0.717
(`⌒´)	NB	0.3385	NB	3-2	5	HP	7	False	0.0376	0.1557	0.0514	0.0828	0.3341	0.3385	LN	0.98	NB	0.485	LN	0.324	NB	0.236	NB	0.777
(`⌒´メ)	LN	0.3287		2-2-1	5	HP	5	False	0.0519	0.1396	0.0672	0.1022	0.3287	0.3104	LN	0.966	NB	0.594	LN	0.363	HN-S	0.264	NB	0.632
(`◇´)	NB	0.2478		2-1-1-1	5	NB	1	False	0.0439	0.1809	0.1818	0.1598	0.1858	0.2478	HN-D	0.592	NB	0.525	LN	0.292	NB	0.321	LP	0.374
(`へ´)	NB	0.2992		2-2-1	5	nan	0	False	0.0484	0.1166	0.1303	0.1117	0.2939	0.2992	LN	0.439	NB	0.444	LN	0.409	HN-S	0.261	NB	0.578
(`・ω・´)	NB	0.2532		2-1-1-1	5	LN	1	False	0.0564	0.2222	0.1669	0.1576	0.1437	0.2532	HN-D	0.548	NB	0.486	LN	0.33	NB	0.215	LP	0.604
(o>ω<o)	HP	0.4137	HP	3-1-1	5	HP	1	False	0.4137	0.0673	0.0721	0.0951	0.2733	0.0783	HP	0.994	HP	0.532	HP	0.416	HN-D	0.27	LN	0.998
(o^^o)	NB	0.323	HP	3-1-1	5	NB	12	False	0.2121	0.1356	0.0252	0.0537	0.2502	0.323	NB	0.978	HP	0.325	HP	0.417	HP	0.317	LN	0.933
(o^_^o)	NB	0.3491		2-1-1-1	5	NB	6	False	0.1492	0.177	0.0239	0.0533	0.2476	0.3491	NB	0.972	LP	0.532	HP	0.407	NB	0.245	LN	0.977
(o^▽^o)	HP	0.3018	HP	3-1-1	5	HP	2	False	0.3018	0.1856	0.0145	0.0382	0.2065	0.2534	HP	0.534	LP	0.401	HP	0.425	HP	0.312	LN	0.807
(o_o)	HN-S	0.3517		2-1-1-1	5	NB	24	False	0.1087	0.0377	0.1264	0.3517	0.2939	0.0816	HN-S	0.993	HN-D	0.35	HP	0.361	HN-S	0.302	LN	0.981
(o°ω°o)	HN-S	0.2907		2-2-1	5	HP	1	False	0.1343	0.0876	0.0679	0.2907	0.2886	0.1309	HN-S	0.942	LN	0.215	NB	0.322	HN-S	0.246	LN	0.995
(~^▽^)~	LP	0.3217		2-2-1	5	LP	1	False	0.2255	0.3217	0.0562	0.0766	0.0709	0.2491	HP	0.718	LP	0.615	HN-S	0.256	HP	0.246	LP	0.48
( *▽)	HP	0.3926		2-2-1	5	LP	1	False	0.3926	0.2738	0.0479	0.0574	0.0792	0.149	HP	0.994	HP	0.518	NB	0.191	LP	0.356	LP	0.764
(¬_¬)	HN-D	0.4593	HN-D	4-1	5	HN-D	14	False	0.0338	0.0392	0.4593	0.1509	0.2413	0.0756	HN-D	0.942	HN-D	0.44	HN-D	0.19	HN-D	0.298	LN	0.509
(¬‿¬)	LN	0.317		2-2-1	5	NB	15	True	0.0496	0.0601	0.1405	0.1163	0.317	0.3165	NB	0.991	LN	0.283	HN-D	0.197	HN-D	0.261	LN	0.884
(¬､¬)	LN	0.3099		2-1-1-1	5	nan	0	False	0.0317	0.0436	0.2522	0.1562	0.3099	0.2064	NB	0.615	HN-D	0.386	HN-S	0.214	HN-D	0.297	LN	0.88
(¯`·._.·(¯)	NB	0.5275	NB	3-1-1	5	LP	1	False	0.0541	0.1721	0.0627	0.0639	0.1198	0.5275	NB	0.998	NB	0.465	LP	0.224	LN	0.325	NB	0.745
(¯`·._.·(¯)___)	NB	0.4606	NB	3-1-1	5	NB	1	False	0.0757	0.1617	0.061	0.0781	0.1628	0.4606	NB	0.994	LP	0.363	NB	0.224	LN	0.292	NB	0.601
(¯`・.¸)	NB	0.5556	NB	3-1-1	5	HP	1	False	0.0618	0.1892	0.0527	0.0514	0.0892	0.5556	NB	0.986	NB	0.614	HP	0.226	LN	0.314	NB	0.773
(¯`・.｡)	NB	0.5119	NB	3-1-1	5	HP	1	False	0.058	0.2508	0.0492	0.0506	0.0796	0.5119	NB	0.989	NB	0.712	HP	0.21	NB	0.277	LP	0.583
(¯▽¯)	NB	0.4947	NB	3-1-1	5	HP	1	False	0.0884	0.1282	0.0602	0.0681	0.1605	0.4947	NB	0.986	NB	0.462	LP	0.199	LN	0.303	NB	0.628
(¯︎_¯︎)	LN	0.4111		2-2-1	5	HN-S	1	False	0.0429	0.0712	0.0797	0.0801	0.4111	0.3149	NB	0.999	LN	0.723	HN-D	0.233	NB	0.251	LN	0.951
(¯︵¯)	LN	0.3408	LN	3-1-1	5	LN	1	False	0.0349	0.0514	0.1613	0.1446	0.3408	0.2669	NB	0.586	LN	0.449	HN-D	0.2	LN	0.322	LN	0.751
(¯︿¯)	LN	0.3895	LN	3-1-1	5	LN	3	False	0.0308	0.0459	0.1965	0.1371	0.3895	0.2002	NB	0.468	LN	0.482	HN-D	0.251	LN	0.313	LN	0.902
(¯﹏¯)	LN	0.3715		2-2-1	5	HN-D	1	False	0.0368	0.0369	0.1869	0.2449	0.3715	0.1231	HN-S	0.601	HN-D	0.435	HN-D	0.248	LN	0.38	LN	0.901
(°_°;)	HN-S	0.3853		2-1-1-1	5	HN-S	1	False	0.0397	0.0389	0.1847	0.3853	0.2997	0.0518	HN-S	0.999	HN-D	0.487	HP	0.188	HN-S	0.375	LN	0.877
(°д°)	LN	0.2962		2-1-1-1	5	HN-S	3	False	0.0513	0.077	0.2068	0.2384	0.2962	0.1303	HN-S	0.538	NB	0.387	HP	0.207	HN-S	0.427	LN	0.968
(°д°;)	LN	0.334		2-1-1-1	5	HN-S	1	False	0.0419	0.0397	0.3132	0.2186	0.334	0.0526	HN-D	0.652	LN	0.387	HP	0.197	HN-S	0.449	LN	0.997
(°□°)	HN-S	0.2943		2-1-1-1	5	nan	0	False	0.0637	0.0783	0.2171	0.2943	0.2162	0.1304	HN-S	0.752	HN-D	0.365	HP	0.235	HN-S	0.382	LN	0.681
(°□°;)	HN-S	0.3438		2-1-1-1	5	HN-S	2	True	0.0481	0.038	0.2319	0.3438	0.2885	0.0497	HN-S	0.938	HN-D	0.637	HP	0.211	HN-S	0.456	LN	0.994
(°△°)	LN	0.2837		2-1-1-1	5	nan	0	False	0.0516	0.0585	0.2598	0.2084	0.2837	0.138	HN-D	0.658	NB	0.392	NB	0.186	HN-S	0.369	LN	0.989
(°▽°)	HP	0.2711	HP	3-1-1	5	nan	0	False	0.2711	0.2188	0.0525	0.0577	0.138	0.2619	HP	0.793	NB	0.548	HP	0.25	HP	0.278	LP	0.496
(°◇°)	HN-S	0.274		2-1-1-1	5	NB	7	False	0.068	0.2038	0.0868	0.274	0.1523	0.2151	HN-S	0.919	NB	0.642	HP	0.218	HN-S	0.289	LP	0.519
(°〇°)	HN-S	0.2706		2-1-1-1	5	HP	4	True	0.0976	0.1523	0.106	0.2706	0.1983	0.1751	HN-S	0.754	NB	0.491	HP	0.202	HN-S	0.381	LN	0.578
(°ロ°)	HN-S	0.2843		2-1-1-1	5	HN-S	3	False	0.0811	0.0905	0.1102	0.2843	0.2776	0.1563	HN-S	0.934	NB	0.488	HP	0.243	HN-S	0.258	LN	0.955
(°ヮ°)	NB	0.3578	NB	3-1-1	5	nan	0	False	0.0949	0.2029	0.0741	0.0884	0.1819	0.3578	NB	0.86	NB	0.41	HP	0.227	NB	0.228	LN	0.473
(°ー°ll)	LN	0.249		1-1-1-1-1	5	LN	1	False	0.0643	0.1231	0.193	0.1838	0.249	0.1869	HN-D	0.557	NB	0.496	HP	0.26	HN-S	0.326	LN	0.795
(°ー°|||)	HN-S	0.3144		2-1-1-1	5	LN	1	False	0.0539	0.0848	0.1325	0.3144	0.2802	0.1342	HN-S	0.894	NB	0.305	HP	0.22	HN-S	0.36	LN	0.852
(°ー°〃)	LN	0.2531		2-1-1-1	5	LN	4	False	0.0595	0.1101	0.1342	0.1913	0.2531	0.2518	NB	0.442	NB	0.44	HP	0.215	HN-S	0.324	LN	0.768
(´	LN	0.4722	LN	3-1-1	5	nan	0	False	0.0766	0.147	0.1002	0.0906	0.4722	0.1134	LN	0.68	LN	0.358	LP	0.188	HN-D	0.211	LN	0.954
(´-`)	LN	0.3715		2-2-1	5	LN	6	True	0.0655	0.0937	0.0827	0.0797	0.3715	0.3069	LN	0.982	NB	0.362	HN-D	0.192	LN	0.398	NB	0.885
(´-ω-`)	LN	0.4826	LN	3-1-1	5	LN	3	True	0.0641	0.0952	0.0728	0.0784	0.4826	0.2069	LN	0.996	NB	0.438	LP	0.205	LN	0.351	LN	0.647
(´-﹏-`;)	LN	0.5916	LN	4-1	5	LN	1	True	0.0307	0.0481	0.1437	0.1011	0.5916	0.0848	LN	0.984	LN	0.417	HN-D	0.229	LN	0.417	LN	0.928
(´;ω;`)	LN	0.6381	LN	4-1	5	LN	13	True	0.0397	0.0275	0.1433	0.1243	0.6381	0.027	LN	0.999	LN	0.682	HN-D	0.211	LN	0.337	LN	0.962
(´_ゝ`)	LN	0.4569	LN	4-1	5	nan	0	False	0.0489	0.0911	0.0986	0.0948	0.4569	0.2097	LN	0.906	NB	0.489	LN	0.185	LN	0.261	LN	0.77
(´`;ω;´)	LN	0.4163	LN	3-1-1	5	HN-D	1	False	0.1823	0.0984	0.1362	0.1189	0.4163	0.0479	LN	0.996	LN	0.657	LN	0.208	HN-S	0.334	HP	0.716
(´°̥̥̥̥̥̥	LN	0.3403	HN-D	3-1-1	5	HN-D	1	True	0.0643	0.2202	0.1872	0.1249	0.3403	0.0632	LN	0.936	HN-D	0.414	HN-D	0.19	HN-D	0.33	LP	0.9
(´°ω°`)	HN-D	0.3525		2-1-1-1	5	nan	0	False	0.1178	0.2207	0.3525	0.1079	0.0918	0.1093	HN-D	0.923	HN-D	0.382	HP	0.218	HN-S	0.334	LP	0.82
(´·_·`)	LN	0.4252	LN	3-2	5	nan	0	False	0.0383	0.1153	0.2207	0.0964	0.4252	0.104	LN	0.85	HN-D	0.634	HN-D	0.185	LN	0.297	LN	0.641
(´˘`)	LP	0.3768		2-2-1	5	LP	1	True	0.1147	0.3768	0.05	0.0531	0.1172	0.2883	LP	0.83	NB	0.389	HP	0.188	LP	0.368	NB	0.68
(´ω`	LP	0.4369	LP	4-1	5	nan	0	False	0.1019	0.4369	0.0437	0.0434	0.1791	0.195	LP	0.518	NB	0.379	LP	0.228	LP	0.419	LP	0.816
(´ω`)	LP	0.4121	LP	3-1-1	5	LN	48	False	0.0994	0.4121	0.0354	0.0389	0.2115	0.2027	LN	0.597	NB	0.47	LP	0.226	LP	0.468	LP	0.817
(´д`)	LN	0.3748		2-2-1	5	HN-S	1	False	0.0633	0.0502	0.2542	0.1419	0.3748	0.1156	HN-D	0.567	LN	0.415	HN-D	0.199	HN-S	0.403	LN	0.683
(´д`;)	LN	0.4001		2-2-1	5	nan	0	False	0.0487	0.0805	0.2462	0.1492	0.4001	0.0753	LN	0.628	HN-D	0.402	HN-D	0.217	HN-S	0.403	LN	0.651
(´ུ`っ)	LN	0.3823		2-1-1-1	5	HN-S	1	False	0.0574	0.1403	0.1575	0.1479	0.3823	0.1146	LN	0.687	LN	0.66	HN-D	0.213	HN-S	0.331	LP	0.496
(´∀`)	LP	0.3566		2-1-1-1	5	LP	5	True	0.1729	0.3566	0.0278	0.0284	0.2356	0.1786	LN	0.913	NB	0.444	HP	0.257	HP	0.342	LP	0.951
(´∀`;)	LN	0.3496		2-1-1-1	5	nan	0	False	0.1011	0.2764	0.0488	0.0444	0.3496	0.1797	LN	0.996	NB	0.393	HP	0.234	LP	0.343	LP	0.701
(´∇`)	LP	0.5308	LP	3-1-1	5	HP	5	False	0.1672	0.5308	0.0266	0.0284	0.0675	0.1794	LP	0.863	NB	0.382	HP	0.278	LP	0.483	LP	0.882
(´□`)	HN-D	0.3478		2-2-1	5	HN-D	2	False	0.075	0.0846	0.3478	0.1131	0.2178	0.1618	HN-D	0.932	HN-D	0.484	LN	0.176	LN	0.262	NB	0.464
(´▽`)	LP	0.446	HP	3-2	5	LP	20	True	0.2188	0.446	0.0269	0.0291	0.1322	0.147	LP	0.771	HP	0.327	HP	0.285	HP	0.436	LP	0.696
(´▽`;)	LN	0.4343	LN	3-1-1	5	HN-S	1	False	0.1136	0.2072	0.0699	0.0487	0.4343	0.1263	LN	0.951	LN	0.339	HP	0.259	LP	0.418	LN	0.682
(´▽`ʃ♡ƪ)	LP	0.5812	LP	3-2	5	LP	7	False	0.1728	0.5812	0.0271	0.024	0.0494	0.1454	LP	0.992	LP	0.342	HP	0.291	HP	0.367	LP	0.932
