first_word	n_prompts_HP	n_prompts_LP	n_prompts_HN-D	n_prompts_HN-S	n_prompts_LN	n_prompts_NB	mean_log_prob_HP	mean_log_prob_LP	mean_log_prob_HN-D	mean_log_prob_HN-S	mean_log_prob_LN	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(/▽＼)	0	0	0	0	0	0	-2.995732273553991	-0.2231435513142097	-3.912023005428146	-2.995732273553991	-2.995732273553991	-3.506557897319982	0.05	0.8	0.02	0.05	0.05	0.03	LP	0.8	1	False	0		0	0	0	0	0	0	False
(;'ω';)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-2.3025850929940455	-0.35667494393873245	-2.5257286443082556	-3.912023005428146	0.05	0.05	0.1	0.7	0.08	0.02	HN-S	0.7	1	False	1	HN-S	0	0	0	1	0	0	True
(;;)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-2.995732273553991	-1.8971199848858813	-0.4307829160924542	-2.995732273553991	0.05	0.05	0.05	0.15	0.65	0.05	LN	0.65	1	False	6	LN	0	0	0	0	6	0	True
(;;_;;)	0	0	0	0	0	0	-3.912023005428146	-3.506557897319982	-2.995732273553991	-2.3025850929940455	-0.2484613592984996	-3.912023005428146	0.02	0.03	0.05	0.1	0.78	0.02	LN	0.78	1	False	2	HN-S	0	0	0	2	0	0	False
(;_;)	0	0	0	0	0	0	-3.912023005428146	-3.506557897319982	-3.912023005428146	-2.5257286443082556	-0.18632957819149348	-3.912023005428146	0.02	0.03	0.02	0.08	0.83	0.02	LN	0.83	1	False	3	LN	0	0	0	1	2	0	True
(;`ﾉωﾉ´)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-2.995732273553991	-0.2876820724517809	-2.5257286443082556	-3.912023005428146	0.05	0.05	0.05	0.75	0.08	0.02	HN-S	0.75	1	False	1	LP	0	1	0	0	0	0	False
(;´д`)	0	0	0	0	0	0	-3.912023005428146	-3.506557897319982	-2.995732273553991	-0.16251892949777494	-3.2188758248682006	-4.605170185988091	0.02	0.03	0.05	0.85	0.04	0.01	HN-S	0.85	1	False	38	LN	0	0	5	6	27	0	False
(;´༎ຶд༎ຶ`)	0	0	0	0	0	0	-3.912023005428146	-4.605170185988091	-2.995732273553991	-0.12783337150988489	-3.506557897319982	-4.605170185988091	0.02	0.01	0.05	0.88	0.03	0.01	HN-S	0.88	1	False	12	LN	0	0	0	5	7	0	False
(;´∀`)	0	0	0	0	0	0	-1.8971199848858813	-0.35667494393873245	-3.912023005428146	-2.995732273553991	-2.995732273553991	-3.506557897319982	0.15	0.7	0.02	0.05	0.05	0.03	LP	0.7	1	False	2	LN	0	0	0	0	2	0	False
(;´꒳`)	0	0	0	0	0	0	-2.995732273553991	-0.2876820724517809	-3.912023005428146	-2.3025850929940455	-2.8134107167600364	-3.912023005428146	0.05	0.75	0.02	0.1	0.06	0.02	LP	0.75	1	False	1	LN	0	0	0	0	1	0	False
(;ω;)	0	0	0	0	0	0	-3.912023005428146	-2.995732273553991	-3.506557897319982	-1.8971199848858813	-0.3285040669720361	-3.506557897319982	0.02	0.05	0.03	0.15	0.72	0.03	LN	0.72	1	False	47	LN	2	0	0	8	37	0	True
(;д;)	0	0	0	0	0	0	-3.912023005428146	-3.506557897319982	-2.995732273553991	-1.8971199848858813	-0.3285040669720361	-3.506557897319982	0.02	0.03	0.05	0.15	0.72	0.03	LN	0.72	1	False	1	HN-S	0	0	0	1	0	0	False
(;′⌒`)	0	0	0	0	0	0	-2.995732273553991	-2.3025850929940455	-2.995732273553991	-1.8971199848858813	-0.5108256237659907	-2.995732273553991	0.05	0.1	0.05	0.15	0.6	0.05	LN	0.6	1	False	25	HN-S	0	0	6	14	5	0	False
(;⁎_⁎)	0	0	0	0	0	0	-3.912023005428146	-3.506557897319982	-2.995732273553991	-0.2231435513142097	-2.5257286443082556	-3.912023005428146	0.02	0.03	0.05	0.8	0.08	0.02	HN-S	0.8	1	False	1	HN-S	0	0	0	1	0	0	True
(;╹⌓╹)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-2.995732273553991	-0.2876820724517809	-2.5257286443082556	-3.912023005428146	0.05	0.05	0.05	0.75	0.08	0.02	HN-S	0.75	1	True	1	LN	0	0	0	0	1	0	False
(;へ:)	0	0	0	0	0	0	-3.912023005428146	-3.506557897319982	-2.995732273553991	-0.2231435513142097	-2.5257286443082556	-3.912023005428146	0.02	0.03	0.05	0.8	0.08	0.02	HN-S	0.8	1	False	1	HP	1	0	0	0	0	0	False
(;・`O・´)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-2.3025850929940455	-0.35667494393873245	-2.5257286443082556	-3.912023005428146	0.05	0.05	0.1	0.7	0.08	0.02	HN-S	0.7	1	False	1	HN-S	0	0	0	1	0	0	True
(;・∀・)	0	0	0	0	0	0	-1.8971199848858813	-0.35667494393873245	-3.912023005428146	-2.995732273553991	-2.995732273553991	-3.506557897319982	0.15	0.7	0.02	0.05	0.05	0.03	LP	0.7	1	False	0		0	0	0	0	0	0	False
(;一_一)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-2.3025850929940455	-1.8971199848858813	-1.2039728043259361	-1.0498221244986778	0.05	0.05	0.1	0.15	0.3	0.35	NB	0.35	1	False	2	HN-S	0	0	0	1	1	0	False
(;︵;)	0	0	0	0	0	0	-3.912023005428146	-2.995732273553991	-3.506557897319982	-2.3025850929940455	-0.2484613592984996	-3.912023005428146	0.02	0.05	0.03	0.1	0.78	0.02	LN	0.78	1	True	1	HN-D	0	0	1	0	0	0	False
(;﹏;)	0	0	0	0	0	0	-3.912023005428146	-2.995732273553991	-3.506557897319982	-2.3025850929940455	-0.2484613592984996	-3.912023005428146	0.02	0.05	0.03	0.1	0.78	0.02	LN	0.78	1	False	1	HN-S	0	0	0	1	0	0	False
(;￣д￣)	0	0	0	0	0	0	-3.912023005428146	-3.506557897319982	-2.3025850929940455	-0.2876820724517809	-2.5257286443082556	-3.912023005428146	0.02	0.03	0.1	0.75	0.08	0.02	HN-S	0.75	1	False	0		0	0	0	0	0	0	False
(=^-^=)	0	0	0	0	0	0	-2.995732273553991	-0.2231435513142097	-3.912023005428146	-3.506557897319982	-2.995732273553991	-2.995732273553991	0.05	0.8	0.02	0.03	0.05	0.05	LP	0.8	1	False	6	LP	0	2	0	1	2	1	True
(=^-ω-^=)	0	0	0	0	0	0	-2.995732273553991	-0.2231435513142097	-3.912023005428146	-3.506557897319982	-2.995732273553991	-2.995732273553991	0.05	0.8	0.02	0.03	0.05	0.05	LP	0.8	1	False	22	NB	2	4	3	4	3	6	False
(=^-ω^-=)	0	0	0	0	0	0	-2.995732273553991	-0.2231435513142097	-3.912023005428146	-3.506557897319982	-2.995732273553991	-2.995732273553991	0.05	0.8	0.02	0.03	0.05	0.05	LP	0.8	1	False	1	LP	0	1	0	0	0	0	True
(=^_^=)	0	0	0	0	0	0	-2.995732273553991	-0.2231435513142097	-3.912023005428146	-3.506557897319982	-2.995732273553991	-2.995732273553991	0.05	0.8	0.02	0.03	0.05	0.05	LP	0.8	1	False	2	LP	0	1	0	0	1	0	True
(=^・^=)	0	0	0	0	0	0	-2.995732273553991	-0.2231435513142097	-3.912023005428146	-3.912023005428146	-2.995732273553991	-2.8134107167600364	0.05	0.8	0.02	0.02	0.05	0.06	LP	0.8	1	False	1	LP	0	1	0	0	0	0	True
(=^・ω・^=)	0	0	0	0	0	0	-2.995732273553991	-0.2231435513142097	-3.912023005428146	-3.912023005428146	-2.995732273553991	-2.8134107167600364	0.05	0.8	0.02	0.02	0.05	0.06	LP	0.8	1	False	19	LP	0	13	1	0	1	4	True
(=^・ｪ・^=)	0	0	0	0	0	0	-2.995732273553991	-0.2231435513142097	-3.912023005428146	-3.912023005428146	-2.995732273553991	-2.8134107167600364	0.05	0.8	0.02	0.02	0.05	0.06	LP	0.8	1	False	0		0	0	0	0	0	0	False
(=`ω´=)	0	0	0	0	0	0	-0.2876820724517809	-1.8971199848858813	-2.995732273553991	-3.912023005428146	-3.912023005428146	-4.605170185988091	0.75	0.15	0.05	0.02	0.02	0.01	HP	0.75	1	False	0		0	0	0	0	0	0	False
(=ↀωↀ=)	0	0	0	0	0	0	-0.2876820724517809	-1.6094379124341003	-3.912023005428146	-4.605170185988091	-4.605170185988091	-4.605170185988091	0.75	0.2	0.02	0.01	0.01	0.01	HP	0.75	1	False	1	LP	0	1	0	0	0	0	False
(=⌒‿‿⌒=)	0	0	0	0	0	0	-2.995732273553991	-0.16251892949777494	-3.912023005428146	-3.912023005428146	-3.2188758248682006	-3.912023005428146	0.05	0.85	0.02	0.02	0.04	0.02	LP	0.85	1	False	0		0	0	0	0	0	0	False
(>^_^)	0	0	0	0	0	0	-0.2876820724517809	-1.6094379124341003	-3.912023005428146	-4.605170185988091	-4.605170185988091	-4.605170185988091	0.75	0.2	0.02	0.01	0.01	0.01	HP	0.75	1	False	1	LP	0	1	0	0	0	0	False
(>_<)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-2.3025850929940455	-0.2876820724517809	-3.2188758248682006	-4.605170185988091	0.05	0.05	0.1	0.75	0.04	0.01	HN-S	0.75	1	False	44	HN-S	0	2	8	31	2	1	True
(>_<;)	0	0	0	0	0	0	-3.912023005428146	-3.506557897319982	-2.995732273553991	-0.2231435513142097	-2.5257286443082556	-3.912023005428146	0.02	0.03	0.05	0.8	0.08	0.02	HN-S	0.8	1	False	13	HN-S	0	0	0	13	0	0	True
(>ω<)	0	0	0	0	0	0	-0.2876820724517809	-1.8971199848858813	-3.912023005428146	-3.506557897319982	-3.506557897319982	-3.912023005428146	0.75	0.15	0.02	0.03	0.03	0.02	HP	0.75	1	False	0		0	0	0	0	0	0	False
(>ω<*	0	0	0	0	0	0	-0.2876820724517809	-1.8971199848858813	-2.995732273553991	-3.506557897319982	-4.605170185988091	-4.605170185988091	0.75	0.15	0.05	0.03	0.01	0.01	HP	0.75	1	False	1	HP	1	0	0	0	0	0	True
(>‿◠)	0	0	0	0	0	0	-0.2876820724517809	-1.6094379124341003	-4.605170185988091	-4.605170185988091	-3.912023005428146	-4.605170185988091	0.75	0.2	0.01	0.01	0.02	0.01	HP	0.75	1	False	3	HN-S	0	0	0	2	1	0	False
(>‿◼︵◼<)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-0.2876820724517809	-2.3025850929940455	-3.506557897319982	-3.912023005428146	0.05	0.05	0.75	0.1	0.03	0.02	HN-D	0.75	1	False	1	LP	0	1	0	0	0	0	False
(>∀<☆)	0	0	0	0	0	0	-0.16251892949777494	-2.3025850929940455	-3.912023005428146	-4.605170185988091	-4.605170185988091	-4.605170185988091	0.85	0.1	0.02	0.01	0.01	0.01	HP	0.85	1	True	1	HP	1	0	0	0	0	0	True
(>﹏<)	0	0	0	0	0	0	-3.912023005428146	-2.995732273553991	-2.5257286443082556	-1.8971199848858813	-0.3856624808119846	-3.912023005428146	0.02	0.05	0.08	0.15	0.68	0.02	LN	0.68	1	True	25	HN-S	1	0	4	13	7	0	False
(>﹏<｡)	0	0	0	0	0	0	-3.912023005428146	-3.506557897319982	-2.995732273553991	-0.16251892949777494	-3.2188758248682006	-4.605170185988091	0.02	0.03	0.05	0.85	0.04	0.01	HN-S	0.85	1	False	7	HN-S	0	0	0	7	0	0	True
(O_O)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-2.3025850929940455	-0.2876820724517809	-3.506557897319982	-3.912023005428146	0.05	0.05	0.1	0.75	0.03	0.02	HN-S	0.75	1	False	1	HN-S	0	0	0	1	0	0	True
(OwO)	0	0	0	0	0	0	-0.2876820724517809	-1.8971199848858813	-3.912023005428146	-2.995732273553991	-3.912023005428146	-4.605170185988091	0.75	0.15	0.02	0.05	0.02	0.01	HP	0.75	1	False	1	HP	1	0	0	0	0	0	True
(T-T)	0	0	0	0	0	0	-3.912023005428146	-3.506557897319982	-2.995732273553991	-2.3025850929940455	-0.2484613592984996	-3.912023005428146	0.02	0.03	0.05	0.1	0.78	0.02	LN	0.78	1	False	8	LN	0	0	0	1	7	0	True
(T^T)	0	0	0	0	0	0	-3.912023005428146	-3.506557897319982	-2.995732273553991	-2.3025850929940455	-0.2484613592984996	-3.912023005428146	0.02	0.03	0.05	0.1	0.78	0.02	LN	0.78	1	False	1	HP	1	0	0	0	0	0	False
(T_T)	0	0	0	0	0	0	-3.912023005428146	-3.506557897319982	-3.912023005428146	-2.5257286443082556	-0.18632957819149348	-3.912023005428146	0.02	0.03	0.02	0.08	0.83	0.02	LN	0.83	1	False	22	LN	0	0	2	2	18	0	True
(T▽T)	0	0	0	0	0	0	-3.912023005428146	-2.995732273553991	-3.506557897319982	-2.3025850929940455	-0.2484613592984996	-3.912023005428146	0.02	0.05	0.03	0.1	0.78	0.02	LN	0.78	1	False	2	HP	2	0	0	0	0	0	False
(^	0	0	0	0	0	0	-2.3025850929940455	-1.8971199848858813	-2.995732273553991	-2.3025850929940455	-2.995732273553991	-0.5978370007556204	0.1	0.15	0.05	0.1	0.05	0.55	NB	0.55	1	False	0		0	0	0	0	0	0	False
(^-^)	0	0	0	0	0	0	-1.8971199848858813	-0.35667494393873245	-3.912023005428146	-3.912023005428146	-2.995732273553991	-2.8134107167600364	0.15	0.7	0.02	0.02	0.05	0.06	LP	0.7	1	False	37	LP	0	17	1	0	4	15	True
(^.^)	0	0	0	0	0	0	-1.8971199848858813	-0.35667494393873245	-3.912023005428146	-3.912023005428146	-2.995732273553991	-2.8134107167600364	0.15	0.7	0.02	0.02	0.05	0.06	LP	0.7	1	False	2	LP	0	1	0	0	0	1	True
(^^)	0	0	0	0	0	0	-1.8971199848858813	-0.35667494393873245	-3.912023005428146	-3.912023005428146	-2.5257286443082556	-3.506557897319982	0.15	0.7	0.02	0.02	0.08	0.03	LP	0.7	1	False	2	LP	0	2	0	0	0	0	True
(^_^)	0	0	0	0	0	0	-0.2876820724517809	-1.6094379124341003	-4.605170185988091	-4.605170185988091	-3.912023005428146	-4.605170185988091	0.75	0.2	0.01	0.01	0.02	0.01	HP	0.75	1	False	44	NB	7	8	0	0	0	29	False
(^_^;)	0	0	0	0	0	0	-1.8971199848858813	-0.4307829160924542	-3.912023005428146	-2.3025850929940455	-2.995732273553991	-3.506557897319982	0.15	0.65	0.02	0.1	0.05	0.03	LP	0.65	1	False	2	NB	0	0	0	0	0	2	False
(^_~)	0	0	0	0	0	0	-0.2876820724517809	-1.6094379124341003	-4.605170185988091	-4.605170185988091	-4.605170185988091	-3.912023005428146	0.75	0.2	0.01	0.01	0.01	0.02	HP	0.75	1	False	1	HP	1	0	0	0	0	0	True
(^_−)	0	0	0	0	0	0	-2.995732273553991	-0.2231435513142097	-3.912023005428146	-3.506557897319982	-2.5257286443082556	-3.912023005428146	0.05	0.8	0.02	0.03	0.08	0.02	LP	0.8	1	False	3	NB	0	1	0	0	0	2	False
(^o^)	0	0	0	0	0	0	-0.16251892949777494	-2.3025850929940455	-4.605170185988091	-4.605170185988091	-3.912023005428146	-4.605170185988091	0.85	0.1	0.01	0.01	0.02	0.01	HP	0.85	1	False	6	HP	4	1	0	0	0	1	True
(^‿^)	0	0	0	0	0	0	-1.8971199848858813	-0.2876820724517809	-3.912023005428146	-3.912023005428146	-3.2188758248682006	-3.912023005428146	0.15	0.75	0.02	0.02	0.04	0.02	LP	0.75	1	False	13	LP	1	10	0	0	0	2	True
(^▽^)	0	0	0	0	0	0	-0.16251892949777494	-2.120263536200091	-4.605170185988091	-4.605170185988091	-4.605170185988091	-1000000000.0	0.85	0.12	0.01	0.01	0.01	0.0	HP	0.85	1	False	15	NB	4	2	0	0	0	9	False
(^・ω・^)	0	0	0	0	0	0	-1.8971199848858813	-0.35667494393873245	-3.912023005428146	-3.912023005428146	-2.995732273553991	-2.8134107167600364	0.15	0.7	0.02	0.02	0.05	0.06	LP	0.7	1	False	2	LP	0	2	0	0	0	0	True
(__)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-2.995732273553991	-2.995732273553991	-2.995732273553991	-0.2876820724517809	0.05	0.05	0.05	0.05	0.05	0.75	NB	0.75	1	False	1	LN	0	0	0	0	1	0	False
(`_´)	0	0	0	0	0	0	-2.995732273553991	-2.3025850929940455	-2.995732273553991	-2.3025850929940455	-0.4307829160924542	-2.995732273553991	0.05	0.1	0.05	0.1	0.65	0.05	LN	0.65	1	False	0		0	0	0	0	0	0	False
(`⇧´)	0	0	0	0	0	0	-2.995732273553991	-2.3025850929940455	-2.995732273553991	-2.3025850929940455	-2.995732273553991	-0.4307829160924542	0.05	0.1	0.05	0.1	0.05	0.65	NB	0.65	1	False	2	HP	2	0	0	0	0	0	False
(`⌒´)	0	0	0	0	0	0	-2.995732273553991	-0.2231435513142097	-3.912023005428146	-3.506557897319982	-2.5257286443082556	-3.912023005428146	0.05	0.8	0.02	0.03	0.08	0.02	LP	0.8	1	False	7	HP	7	0	0	0	0	0	False
(`⌒´メ)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-0.2231435513142097	-2.995732273553991	-3.506557897319982	-3.912023005428146	0.05	0.05	0.8	0.05	0.03	0.02	HN-D	0.8	1	False	5	HP	5	0	0	0	0	0	False
(`◇´)	0	0	0	0	0	0	-2.995732273553991	-2.3025850929940455	-2.995732273553991	-2.3025850929940455	-2.3025850929940455	-0.5108256237659907	0.05	0.1	0.05	0.1	0.1	0.6	NB	0.6	1	False	1	NB	0	0	0	0	0	1	True
(`へ´)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-0.2231435513142097	-2.995732273553991	-3.506557897319982	-3.912023005428146	0.05	0.05	0.8	0.05	0.03	0.02	HN-D	0.8	1	False	0		0	0	0	0	0	0	False
(`・ω・´)	0	0	0	0	0	0	-2.995732273553991	-2.3025850929940455	-0.35667494393873245	-2.3025850929940455	-3.506557897319982	-3.912023005428146	0.05	0.1	0.7	0.1	0.03	0.02	HN-D	0.7	1	False	1	LN	0	0	0	0	1	0	False
(o>ω<o)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-2.3025850929940455	-0.35667494393873245	-2.5257286443082556	-3.912023005428146	0.05	0.05	0.1	0.7	0.08	0.02	HN-S	0.7	1	False	1	HP	1	0	0	0	0	0	False
(o^^o)	0	0	0	0	0	0	-0.2876820724517809	-1.6094379124341003	-4.605170185988091	-4.605170185988091	-3.912023005428146	-4.605170185988091	0.75	0.2	0.01	0.01	0.02	0.01	HP	0.75	1	False	12	NB	1	3	0	0	0	8	False
(o^_^o)	0	0	0	0	0	0	-0.16251892949777494	-2.120263536200091	-4.605170185988091	-4.605170185988091	-4.605170185988091	-1000000000.0	0.85	0.12	0.01	0.01	0.01	0.0	HP	0.85	1	False	6	NB	0	1	0	0	0	5	False
(o^▽^o)	0	0	0	0	0	0	-0.16251892949777494	-2.120263536200091	-4.605170185988091	-4.605170185988091	-4.605170185988091	-1000000000.0	0.85	0.12	0.01	0.01	0.01	0.0	HP	0.85	1	False	2	HP	1	0	0	0	0	1	True
(o_o)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-2.3025850929940455	-0.35667494393873245	-2.995732273553991	-2.995732273553991	0.05	0.05	0.1	0.7	0.05	0.05	HN-S	0.7	1	False	24	NB	0	0	0	0	4	20	False
(o°ω°o)	0	0	0	0	0	0	-0.2876820724517809	-1.8971199848858813	-3.912023005428146	-3.506557897319982	-3.506557897319982	-3.912023005428146	0.75	0.15	0.02	0.03	0.03	0.02	HP	0.75	1	False	1	HP	1	0	0	0	0	0	True
(~^▽^)~	0	0	0	0	0	0	-0.16251892949777494	-2.120263536200091	-4.605170185988091	-4.605170185988091	-4.605170185988091	-1000000000.0	0.85	0.12	0.01	0.01	0.01	0.0	HP	0.85	1	False	1	LP	0	1	0	0	0	0	False
( *▽)	0	0	0	0	0	0	-2.995732273553991	-0.2231435513142097	-3.912023005428146	-3.506557897319982	-2.995732273553991	-2.995732273553991	0.05	0.8	0.02	0.03	0.05	0.05	LP	0.8	1	False	1	LP	0	1	0	0	0	0	True
(¬_¬)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-2.3025850929940455	-2.995732273553991	-2.3025850929940455	-0.4307829160924542	0.05	0.05	0.1	0.05	0.1	0.65	NB	0.65	1	False	14	HN-D	0	0	10	0	1	3	False
(¬‿¬)	0	0	0	0	0	0	-2.995732273553991	-0.2231435513142097	-3.912023005428146	-3.912023005428146	-2.995732273553991	-2.8134107167600364	0.05	0.8	0.02	0.02	0.05	0.06	LP	0.8	1	True	15	NB	0	0	1	1	3	10	False
(¬､¬)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-2.3025850929940455	-2.995732273553991	-2.3025850929940455	-0.4307829160924542	0.05	0.05	0.1	0.05	0.1	0.65	NB	0.65	1	False	0		0	0	0	0	0	0	False
(¯`·._.·(¯)	0	0	0	0	0	0	-3.912023005428146	-2.995732273553991	-3.506557897319982	-2.5257286443082556	-0.2231435513142097	-3.912023005428146	0.02	0.05	0.03	0.08	0.8	0.02	LN	0.8	1	False	1	LP	0	1	0	0	0	0	False
(¯`·._.·(¯)___)	0	0	0	0	0	0	-3.912023005428146	-2.995732273553991	-3.506557897319982	-2.995732273553991	-0.2231435513142097	-2.995732273553991	0.02	0.05	0.03	0.05	0.8	0.05	LN	0.8	1	False	1	NB	0	0	0	0	0	1	False
(¯`・.¸)	0	0	0	0	0	0	-2.995732273553991	-2.3025850929940455	-2.995732273553991	-2.3025850929940455	-0.4307829160924542	-2.995732273553991	0.05	0.1	0.05	0.1	0.65	0.05	LN	0.65	1	False	1	HP	1	0	0	0	0	0	False
(¯`・.｡)	0	0	0	0	0	0	-2.995732273553991	-2.3025850929940455	-2.995732273553991	-2.3025850929940455	-0.4307829160924542	-2.995732273553991	0.05	0.1	0.05	0.1	0.65	0.05	LN	0.65	1	False	1	HP	1	0	0	0	0	0	False
(¯▽¯)	0	0	0	0	0	0	-2.995732273553991	-0.16251892949777494	-3.912023005428146	-3.912023005428146	-3.2188758248682006	-3.912023005428146	0.05	0.85	0.02	0.02	0.04	0.02	LP	0.85	1	False	1	HP	1	0	0	0	0	0	False
(¯︎_¯︎)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-2.995732273553991	-2.995732273553991	-1.8971199848858813	-0.4307829160924542	0.05	0.05	0.05	0.05	0.15	0.65	NB	0.65	1	False	1	HN-S	0	0	0	1	0	0	False
(¯︵¯)	0	0	0	0	0	0	-3.912023005428146	-2.995732273553991	-3.506557897319982	-2.5257286443082556	-0.2231435513142097	-3.912023005428146	0.02	0.05	0.03	0.08	0.8	0.02	LN	0.8	1	False	1	LN	0	0	0	0	1	0	True
(¯︿¯)	0	0	0	0	0	0	-3.912023005428146	-2.995732273553991	-3.506557897319982	-2.5257286443082556	-0.2231435513142097	-3.912023005428146	0.02	0.05	0.03	0.08	0.8	0.02	LN	0.8	1	False	3	LN	0	0	0	0	3	0	True
(¯﹏¯)	0	0	0	0	0	0	-3.912023005428146	-2.995732273553991	-3.506557897319982	-2.5257286443082556	-0.2231435513142097	-3.912023005428146	0.02	0.05	0.03	0.08	0.8	0.02	LN	0.8	1	False	1	HN-D	0	0	1	0	0	0	False
(°_°;)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-2.3025850929940455	-0.35667494393873245	-2.5257286443082556	-3.912023005428146	0.05	0.05	0.1	0.7	0.08	0.02	HN-S	0.7	1	False	1	HN-S	0	0	0	1	0	0	True
(°д°)	0	0	0	0	0	0	-2.995732273553991	-3.912023005428146	-2.5257286443082556	-0.2231435513142097	-3.506557897319982	-3.912023005428146	0.05	0.02	0.08	0.8	0.03	0.02	HN-S	0.8	1	False	3	HN-S	0	0	1	2	0	0	True
(°д°;)	0	0	0	0	0	0	-3.912023005428146	-4.605170185988091	-2.995732273553991	-0.12783337150988489	-3.506557897319982	-4.605170185988091	0.02	0.01	0.05	0.88	0.03	0.01	HN-S	0.88	1	False	1	HN-S	0	0	0	1	0	0	True
(°□°)	0	0	0	0	0	0	-2.995732273553991	-2.995732273553991	-2.3025850929940455	-0.2876820724517809	-3.506557897319982	-3.912023005428146	0.05	0.05	0.1	0.75	0.03	0.02	HN-S	0.75	1	False	0		0	0	0	0	0	0	False
