first_word	n_prompts_HP	n_prompts_LP	n_prompts_HN-D	n_prompts_HN-S	n_prompts_LN	n_prompts_NB	mean_log_prob_HP	mean_log_prob_LP	mean_log_prob_HN-D	mean_log_prob_HN-S	mean_log_prob_LN	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical	n_v2_descs
(`_´)	0	0	0	0	0	0	-27.631021115928547	-1.6486586255873816	-0.9067212808580043	-0.9067212808580043	-27.631021115928547	-27.631021115928547	0.0	0.192308	0.403846	0.403846	0.0	0.0	HN-D	0.403846	0	False	0		0	0	0	0	0	0	False	2
(╯°□°)	0	0	0	0	0	0	-0.12260232209233239	-2.5649493574615367	-3.951243718581427	-3.951243718581427	-27.631021115928547	-27.631021115928547	0.884615	0.076923	0.019231	0.019231	0.0	0.0	HP	0.884615	0	True	456	HN-D	12	5	377	44	11	7	False	4
(°ロ°)	0	0	0	0	0	0	-27.631021115928547	-3.912023005428146	-0.6931471805599453	-0.7339691750802004	-27.631021115928547	-27.631021115928547	0.0	0.02	0.5	0.48	0.0	0.0	HN-D	0.5	0	True	4	HN-S	0	0	0	4	0	0	False	2
(´・_・`)	0	0	0	0	0	0	-27.631021115928547	-27.631021115928547	-0.6931471805599453	-27.631021115928547	-0.6931471805599453	-27.631021115928547	0.0	0.0	0.5	0.0	0.5	0.0	HN-D	0.5	0	True	36	LN	0	0	0	10	24	2	False	2
(´｡・ω・｡`)	0	0	0	0	0	0	-3.828641396489095	-0.02197890671877523	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.021739	0.978261	0.0	0.0	0.0	0.0	LP	0.978261	0	True	7	LP	0	3	0	0	3	1	True	3
(ง'̀-'́)	0	0	0	0	0	0	-3.7841896339182615	-0.02298951822469872	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.022727	0.977273	0.0	0.0	0.0	0.0	LP	0.977273	0	False	0		0	0	0	0	0	0	False	3
(‿‿‿)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	True	33	LP	2	16	0	0	0	15	True	1
(⌐■_■)	0	0	0	0	0	0	-27.631021115928547	-1.3217558399823193	-27.631021115928547	-2.0149030205422647	-27.631021115928547	-0.5108256237659907	0.0	0.266667	0.0	0.133333	0.0	0.6	NB	0.6	0	False	11	NB	0	0	0	0	0	11	True	4
(✿◕‿◕)	0	0	0	0	0	0	-0.6931471805599453	-0.6931471805599453	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.5	0	True	6	HP	2	2	0	0	1	1	True	2
(￣▽￣)	0	0	0	0	0	0	-0.7932306391169278	-0.6466271649250525	-3.7376696182833684	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.452381	0.52381	0.02381	0.0	0.0	0.0	LP	0.52381	0	False	72	NB	16	20	2	2	10	22	False	5
(◕▽◕)	0	0	0	0	0	0	-0.6931471805599453	-0.6931471805599453	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.5	0	False	0		0	0	0	0	0	0	False	1
(｡◕‿◕｡)	0	0	0	0	0	0	-3.6888794541139363	-2.0794415416798357	-27.631021115928547	-27.631021115928547	-27.631021115928547	-0.16251892949777494	0.025	0.125	0.0	0.0	0.0	0.85	NB	0.85	0	True	135	NB	1	35	0	0	0	99	True	3
(｡・ω・｡)	0	0	0	0	0	0	-27.631021115928547	-0.16251892949777494	-27.631021115928547	-27.631021115928547	-27.631021115928547	-1.8971199848858813	0.0	0.85	0.0	0.0	0.0	0.15	LP	0.85	0	True	45	LP	0	32	0	1	0	12	True	2
(=^・ω・^=)	0	0	0	0	0	0	-0.4595323293784402	-1.0726368022648491	-27.631021115928547	-27.631021115928547	-3.6375861597263857	-27.631021115928547	0.631579	0.342105	0.0	0.0	0.026316	0.0	HP	0.631579	0	False	19	LP	0	13	1	0	1	4	False	4
(ﾉ◕ヮ◕)	0	0	0	0	0	0	-0.20972053098206914	-1.6650077635889111	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.810811	0.189189	0.0	0.0	0.0	0.0	HP	0.810811	0	True	415	HP	178	36	67	50	41	43	True	4
(´ω`)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	True	55	LN	4	12	9	11	17	2	False	1
(˘ω˘)	0	0	0	0	0	0	-0.1823215567939547	-1.791759469228055	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.833333	0.166667	0.0	0.0	0.0	0.0	HP	0.833333	0	True	30	LP	0	28	0	0	0	2	False	3
(・̀ω・́)	0	0	0	0	0	0	-0.9444616088408515	-0.49247648509779424	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.388889	0.611111	0.0	0.0	0.0	0.0	LP	0.611111	0	False	35	NB	2	3	2	5	4	19	False	3
(´;ω;`)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	True	48	LN	0	0	2	9	37	0	False	1
(´-ω-`)	0	0	0	0	0	0	-27.631021115928547	-0.6931471805599453	-27.631021115928547	-27.631021115928547	-0.6931471805599453	-27.631021115928547	0.0	0.5	0.0	0.0	0.5	0.0	LP	0.5	0	True	9	LN	1	0	0	1	7	0	False	1
(￣ー￣)	0	0	0	0	0	0	-1.5686159179138452	-0.7801585575495751	-27.631021115928547	-27.631021115928547	-27.631021115928547	-1.0986122886681098	0.208333	0.458333	0.0	0.0	0.0	0.333333	LP	0.458333	0	False	0		0	0	0	0	0	0	False	4
(´-`)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	True	52	LN	0	0	0	3	49	0	False	1
(ಠ_ಠ)	0	0	0	0	0	0	-27.631021115928547	-1.540445040947149	-0.9343092373768334	-0.9343092373768334	-27.631021115928547	-27.631021115928547	0.0	0.214286	0.392857	0.392857	0.0	0.0	HN-D	0.392857	0	False	5	HN-D	0	0	5	0	0	0	True	3
(｡♥‿♥｡)	0	0	0	0	0	0	-3.332204510175204	-0.03636764417087483	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.035714	0.964286	0.0	0.0	0.0	0.0	LP	0.964286	0	True	100	LP	18	75	0	0	0	7	True	2
(✧ω✧)	0	0	0	0	0	0	-0.03922071315328127	-3.2580965380214817	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.961538	0.038462	0.0	0.0	0.0	0.0	HP	0.961538	0	False	10	HP	9	1	0	0	0	0	True	2
(눈_눈)	0	0	0	0	0	0	-27.631021115928547	-0.8209805520698302	-2.5257286443082556	-3.2188758248682006	-27.631021115928547	-0.8209805520698302	0.0	0.44	0.08	0.04	0.0	0.44	LP	0.44	0	False	0		0	0	0	0	0	0	False	4
(＾∇＾)	0	0	0	0	0	0	-0.6931471805599453	-0.6931471805599453	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.5	0	False	1	LP	0	1	0	0	0	0	False	2
(;・∀・)	0	0	0	0	0	0	-27.631021115928547	-0.7801585575495751	-3.1780538303479458	-1.791759469228055	-27.631021115928547	-1.0986122886681098	0.0	0.458333	0.041667	0.166667	0.0	0.333333	LP	0.458333	0	True	2	HN-D	0	0	1	1	0	0	False	3
(;´д`)	0	0	0	0	0	0	-27.631021115928547	-0.3184537311185346	-1.992430164690206	-1.992430164690206	-27.631021115928547	-27.631021115928547	0.0	0.727273	0.136364	0.136364	0.0	0.0	LP	0.727273	0	True	40	LN	0	0	5	8	27	0	False	2
(｡・́‿・̀｡)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	True	8	LN	0	1	0	2	3	2	False	1
(⊙_⊙)	0	0	0	0	0	0	-27.631021115928547	-0.10536051565782628	-2.995732273553991	-2.995732273553991	-27.631021115928547	-27.631021115928547	0.0	0.9	0.05	0.05	0.0	0.0	LP	0.9	0	False	199	HN-S	0	0	30	143	0	26	False	3
(￣ω￣)	0	0	0	0	0	0	-0.7472144018302211	-0.747214401830221	-27.631021115928547	-27.631021115928547	-27.631021115928547	-2.9444389791664403	0.473684	0.473684	0.0	0.0	0.0	0.052632	LP	0.473684	0	False	2	LP	0	2	0	0	0	0	True	3
(;￣д￣)	0	0	0	0	0	0	-27.631021115928547	-2.1972245773362196	-0.8109302162163288	-0.8109302162163288	-27.631021115928547	-27.631021115928547	0.0	0.111111	0.444444	0.444444	0.0	0.0	HN-D	0.444444	0	True	1	HN-D	0	0	1	0	0	0	True	2
(˘・_・˘)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	False	1	LP	0	1	0	0	0	0	True	2
(‿‿‿✿)	0	0	0	0	0	0	-27.631021115928547	-0.49247648509779407	-27.631021115928547	-27.631021115928547	-27.631021115928547	-0.9444616088408514	0.0	0.611111	0.0	0.0	0.0	0.388889	LP	0.611111	0	True	5	LP	0	5	0	0	0	0	True	2
(≧▽≦)	0	0	0	0	0	0	-0.6359887667199967	-0.7537718023763802	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.529412	0.470588	0.0	0.0	0.0	0.0	HP	0.529412	0	True	76	HP	46	8	2	1	5	14	True	3
(◕‿◕✨)	0	0	0	0	0	0	-0.6931471805599453	-0.6931471805599453	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.5	0	False	0		0	0	0	0	0	0	False	1
(◞‸◟)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	False	0		0	0	0	0	0	0	False	1
ʕ・ᴥ・ʔ	0	0	0	0	0	0	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	1.0	0.0	0.0	0.0	0.0	0.0	HP	1.0	0	False	0		0	0	0	0	0	0	False	1
(๑˃‿˂)	0	0	0	0	0	0	-0.40546510810816444	-1.0986122886681098	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.666667	0.333333	0.0	0.0	0.0	0.0	HP	0.666667	0	False	187	HP	156	19	1	1	1	9	True	1
(ᵔᴥᵔ)	0	0	0	0	0	0	-27.631021115928547	-0.15415067982725836	-27.631021115928547	-27.631021115928547	-27.631021115928547	-1.9459101490553135	0.0	0.857143	0.0	0.0	0.0	0.142857	LP	0.857143	0	False	55	HN-D	9	3	17	10	14	2	False	2
(◜‿◝)	0	0	0	0	0	0	-27.631021115928547	-0.13353139262452274	-2.772588722239781	-2.772588722239781	-27.631021115928547	-27.631021115928547	0.0	0.875	0.0625	0.0625	0.0	0.0	LP	0.875	0	False	0		0	0	0	0	0	0	False	2
(￣ヘ￣;)	0	0	0	0	0	0	-0.8266785731844678	-0.5753641449035618	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.4375	0.5625	0.0	0.0	0.0	0.0	LP	0.5625	0	False	0		0	0	0	0	0	0	False	2
(´・‿・`)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	False	1	LP	0	1	0	0	0	0	True	1
(˃‿˂)	0	0	0	0	0	0	-0.07410797215372196	-2.639057329615259	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.928571	0.071429	0.0	0.0	0.0	0.0	HP	0.928571	0	False	1	HP	1	0	0	0	0	0	True	2
(˶ᵔ‿ᵔ˶)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	False	5	LP	0	5	0	0	0	0	True	1
(ᵔ‿ᵔ)	0	0	0	0	0	0	-2.5649493574615367	-0.08004270767353637	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.076923	0.923077	0.0	0.0	0.0	0.0	LP	0.923077	0	False	5	HN-D	1	0	3	0	1	0	False	3
(╭ರ_・́)	0	0	0	0	0	0	-0.07410797215372185	-2.639057329615259	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.928571	0.071429	0.0	0.0	0.0	0.0	HP	0.928571	0	False	0		0	0	0	0	0	0	False	2
(￣~￣;)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	False	0		0	0	0	0	0	0	False	2
(°▽°)	0	0	0	0	0	0	-0.1823215567939546	-1.791759469228055	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.833333	0.166667	0.0	0.0	0.0	0.0	HP	0.833333	0	True	3	HP	3	0	0	0	0	0	True	3
(⊙‿⊙)	0	0	0	0	0	0	-0.1823215567939546	-1.791759469228055	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.833333	0.166667	0.0	0.0	0.0	0.0	HP	0.833333	0	False	0		0	0	0	0	0	0	False	2
(ノ◕ヮ◕)	0	0	0	0	0	0	-1.791759469228055	-0.1823215567939546	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.166667	0.833333	0.0	0.0	0.0	0.0	LP	0.833333	0	True	31	HP	31	0	0	0	0	0	False	3
(・̀ㅂ・́)	0	0	0	0	0	0	-27.631021115928547	-1.791759469228055	-27.631021115928547	-27.631021115928547	-27.631021115928547	-0.1823215567939547	0.0	0.166667	0.0	0.0	0.0	0.833333	NB	0.833333	0	False	0		0	0	0	0	0	0	False	2
(｡◕‿‿◕｡)	0	0	0	0	0	0	-1.0986122886681096	-0.4054651081081643	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.333333	0.666667	0.0	0.0	0.0	0.0	LP	0.666667	0	False	1	HP	1	0	0	0	0	0	False	2
(｡・́︿・̀｡)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	True	419	LN	8	6	25	128	246	6	False	1
(ﾟ▽ﾟ)	0	0	0	0	0	0	-0.6931471805599453	-0.6931471805599453	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.5	0	False	6	HP	6	0	0	0	0	0	True	2
(￣ヘ￣)	0	0	0	0	0	0	-27.631021115928547	-2.3978952727983707	-27.631021115928547	-27.631021115928547	-27.631021115928547	-0.0953101798043249	0.0	0.090909	0.0	0.0	0.0	0.909091	NB	0.909091	0	True	1	NB	0	0	0	0	0	1	True	2
(>‿<)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	False	0		0	0	0	0	0	0	False	1
(´ω`	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	False	0		0	0	0	0	0	0	False	1
(´・ω・)	0	0	0	0	0	0	-27.631021115928547	-0.10536051565782628	-27.631021115928547	-27.631021115928547	-27.631021115928547	-2.302585092994046	0.0	0.9	0.0	0.0	0.0	0.1	LP	0.9	0	False	0		0	0	0	0	0	0	False	2
(งᵒ̌皿ᵒ̌)	0	0	0	0	0	0	-0.5108256237659907	-0.916290731874155	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.6	0.4	0.0	0.0	0.0	0.0	HP	0.6	0	False	0		0	0	0	0	0	0	False	2
(╥﹏╥)	0	0	0	0	0	0	-27.631021115928547	-27.631021115928547	-0.6931471805599453	-27.631021115928547	-0.6931471805599453	-27.631021115928547	0.0	0.0	0.5	0.0	0.5	0.0	HN-D	0.5	0	True	95	HN-S	10	0	34	38	12	1	False	1
(╯✧∇✧)	0	0	0	0	0	0	-2.3025850929940455	-0.10536051565782628	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.1	0.9	0.0	0.0	0.0	0.0	LP	0.9	0	False	0		0	0	0	0	0	0	False	2
(╹ω╹)	0	0	0	0	0	0	-27.631021115928547	-27.631021115928547	-0.587786664902119	-27.631021115928547	-0.8109302162163288	-27.631021115928547	0.0	0.0	0.555556	0.0	0.444444	0.0	HN-D	0.555556	0	False	0		0	0	0	0	0	0	False	2
(◕ω◕✨)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	False	0		0	0	0	0	0	0	False	1
(・ω・`)	0	0	0	0	0	0	-27.631021115928547	-0.5108256237659907	-27.631021115928547	-27.631021115928547	-27.631021115928547	-0.916290731874155	0.0	0.6	0.0	0.0	0.0	0.4	LP	0.6	0	False	1	HP	1	0	0	0	0	0	False	2
(灬°‿°灬)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	True	1	LP	0	1	0	0	0	0	True	1
(￣^￣)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	False	3	LP	0	3	0	0	0	0	True	2
＼(^	0	0	0	0	0	0	-0.916290731874155	-0.5108256237659907	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.4	0.6	0.0	0.0	0.0	0.0	LP	0.6	0	False	0		0	0	0	0	0	0	False	2
(>∀<☆)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	True	14	HP	14	0	0	0	0	0	False	1
(°□°)	0	0	0	0	0	0	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	1.0	0.0	0.0	0.0	0.0	0.0	HP	1.0	0	False	0		0	0	0	0	0	0	False	2
(°ヮ°)	0	0	0	0	0	0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	0.0	0.0	0.0	0.0	0.0	1.0	NB	1.0	0	False	0		0	0	0	0	0	0	False	1
(´∀`;)	0	0	0	0	0	0	-27.631021115928547	-0.47000362924573535	-27.631021115928547	-0.9808292530117262	-27.631021115928547	-27.631021115928547	0.0	0.625	0.0	0.375	0.0	0.0	LP	0.625	0	False	0		0	0	0	0	0	0	False	2
(´ー`)	0	0	0	0	0	0	-2.079441541679836	-0.13353139262452263	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.125	0.875	0.0	0.0	0.0	0.0	LP	0.875	0	False	0		0	0	0	0	0	0	False	2
(˶˃‿˂˶)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	False	0		0	0	0	0	0	0	False	1
(˶ˆᗜˆ˵)	0	0	0	0	0	0	-2.0794415416798357	-0.13353139262452263	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.125	0.875	0.0	0.0	0.0	0.0	LP	0.875	0	False	0		0	0	0	0	0	0	False	2
