first_word	count	n_projects	sample_projects
(>ω<)	2	2	kenoma,llmoji-study
(ง・̀ω・́)	2	2	llmoji,llmoji-study
(・	2	1	llmoji
(ง・̀ᗜ・́)	2	1	llmoji-study
(´°ω°`)	2	1	brie
(ﾟーﾟ)	2	1	llmoji
(˘︶˘)	2	1	llmoji
(=⌒‿‿⌒=)	2	1	saklas
(⊡-⊡)و	2	1	saklas
(≧ω≦)	2	1	rlaif
(	2	1	rlaif
(・́︵・̀)	2	1	saklas
(´д`;)	2	1	llmoji-study
(・̀ㅁ・́;)	2	1	saklas
(・∀・;)	2	1	llmoji-study
(◕▿◕✿)	2	1	saklas
(・‾‿‾・)	2	1	saklas
(‿͈ˬ‿͈)	2	1	llmoji-study
(;ω;)	2	1	a9lim.github.io
(୧・̀‿-)	2	1	tasty-bot
(◣_◢)	2	1	tasty-bot
(>‿◕)	2	1	llmoji-study
(>‿◕✨)	2	1	llmoji-study
(・̀⌄・́)	2	1	tasty-bot
(´;_;`)	2	1	llmoji-study
(˶◕‿◕˶)	2	1	tasty-bot
(・̅_・̅)	2	1	llmoji-study
(・̀‿・́;)	2	1	llmoji-study
(★‿★)	2	1	llmoji-study
(=^‿^=)	2	1	llmoji-study
(°_°)	2	1	llmoji-study
(・́‸・̀)	2	1	llmoji-study
(´˘`∗)	2	1	llmoji-study
✧*｡٩(ˊᗜˋ*)و✧*｡	2	1	llmoji-study
(・ｪ・)	2	1	llmoji-study
(¬_¬;)	2	1	llmoji-study
(°ㅂ°;)	2	1	llmoji-study
(`・∀・´)	2	1	llmoji-study
(;￣□￣)	2	1	llmoji-study
(°◇°;)	2	1	llmoji-study
(°﹏°)	2	1	llmoji-study
(﹒︠‿﹒︡)	2	1	Work
(・︵・)	2	1	llmoji-study
(°ㅂ°)	2	1	llmoji-study
(°◇°)	2	1	llmoji-study
(◕ω◕✿)	2	1	llmoji
(◕ω◕✨)	2	1	llmoji-study
(・̀ω・́	2	1	claude.ai
(⌐■_ω■)	1	1	saklas
(^	1	1	saklas
(⌐■‿■)	1	1	saklas
(・_・ゞ−☆	1	1	saklas
(ಠ‿ಠ)	1	1	saklas
(╭☞・́⍛・̀)	1	1	saklas
(˘▽˘)	1	1	saklas
(°△°)	1	1	saklas
(´_ゝ`)	1	1	saklas
(;一_一)	1	1	saklas
(＾・ω・＾)	1	1	saklas
(°ー°〃)	1	1	saklas
(._.)	1	1	saklas
(„・֊・„)	1	1	saklas
(´꒳`)	1	1	saklas
(ง・_・)	1	1	rlaif
(̄▽̄)	1	1	tasty-bot
(ᗒᗨᗕ)	1	1	saklas
(ಠ_ಠ)	1	1	kenoma
(╹ヮ╹)	1	1	hylic
(;′⌒`)	1	1	hylic
(;へ:)	1	1	a9lim.github.io
(♡^▽^♡)	1	1	shoals
(⌒▽⌒)	1	1	Work
(｡・	1	1	llmoji
(⊙ヮ⊙)	1	1	llmoji
(˵・̀‿-˵)	1	1	llmoji
(ﾟωﾟ)	1	1	llmoji
(｡・́ω・̀｡)	1	1	llmoji
(○´∀`○)	1	1	llmoji
(´◕ω◕`)	1	1	llmoji
(￣￣)	1	1	saklas
(=`ω´=)	1	1	faithful
(・ω・ﾉ	1	1	kenoma
(─‿‿─)	1	1	kenoma
(งツ)	1	1	saklas
(=^・ｪ・^=)	1	1	rlaif
(´	1	1	kenoma
(ˊᗜˋ)	1	1	saklas
(・⩊・)	1	1	claudedriven
(´ヘ`;)	1	1	Work
(✦‿✦)	1	1	llmoji-study
(｡>‿<｡)	1	1	llmoji-study
(✿・̀ㅁ・́)	1	1	llmoji-study
(¬､¬)	1	1	llmoji
((⊂(`ω´∩)	1	1	llmoji
((✿◕‿◕))	1	1	llmoji
(´∇`)	1	1	a9lim.github.io
(´ｰ`)	1	1	llmoji
(｡◕◕｡)	1	1	llmoji
(◠‿・)	1	1	llmoji
ʕ ・ᴥ・ʔ	1	1	a9lim.github.io
(◞‸◟ㆀ)	1	1	rlaif
(╹ェ╹)	1	1	rlaif
(＾	1	1	saklas
(・ω・´)	1	1	claudedriven
(・ω・;)	1	1	rlaif
(;¬_¬)	1	1	saklas
(눈‸눈)	1	1	saklas
(◞‸◟;)	1	1	talkie-interface
(｡-_-｡)	1	1	a9lim.github.io
(╭☞・̀	1	1	v3
(`∀´)	1	1	llmoji-study
(;´д`ｿ)	1	1	llmoji-study
ಠ‿ಠ	1	1	saklas
(⇀‸↼‶)	1	1	a9lim.github.io
(๑・̀⌄・́๑)૭	1	1	saklas
4/4	1	1	a9lim.github.io
7/7	1	1	saklas
83	1	1	hylic
(・́ω・̀)	1	1	tasty-bot
(˙◁˙)	1	1	tasty-bot
(￣ε￣)	1	1	llmoji-study
(￢_￢)	1	1	a9lim.github.io
(・̀_・́)	1	1	llmoji
(○_○)	1	1	brie
(◕.◕)	1	1	brie
(´◕‿◕`)	1	1	brie
(◞‿◟)	1	1	llmoji-study
(ﾟヮﾟ)	1	1	claude.ai
(￣ー￣;)	1	1	claude.ai
(｡・́⌒・̀｡)	1	1	claude.ai
(ーー;)	1	1	claude.ai
(-_-;)	1	1	claude.ai
(..)	1	1	claude.ai
(￣▽￣;)	1	1	claude.ai
(゜∇゜)	1	1	claude.ai
(゚ペ)	1	1	claude.ai
(⁄⁄・⁄ω⁄・⁄⁄)	1	1	claude.ai
(„‿‿‿„)	1	1	claude.ai
(ˊᗜˋ*)و	1	1	claude.ai
