first_word	ensemble_pred	ensemble_conf	n_encoders_voting	gt_modal	gt_total_emits	jsd_vs_gt	similarity	argmax_matches_gt_modal	total_emit_count	is_claude	ensemble_p_HP	ensemble_p_LP	ensemble_p_HN-D	ensemble_p_HN-S	ensemble_p_LN	ensemble_p_NB	gt_p_HP	gt_p_LP	gt_p_HN-D	gt_p_HN-S	gt_p_LN	gt_p_NB	gemma_pred	gemma_conf	gemma_intro_v7_primed_pred	gemma_intro_v7_primed_conf	opus_pred	opus_conf
(;一_一)	HN-S	0.5636	2		0				2	False	0.0	0.0	0.4313	0.5636	0.0002	0.0049							HN-S	0.628	HN-S	0.499		
(;︵;)	LN	0.7889	3		0				1	True	0.0029	0.0057	0.1127	0.0811	0.7889	0.0086							LN	0.922	LN	0.652	LN	0.793
(;﹏;)	HN-S	0.8425	2		0				1	False	0.0	0.0	0.0222	0.8425	0.1353	0.0							HN-S	0.797	HN-S	0.888		
(;ﾟдﾟ)	HN-S	0.9301	3		0				1	True	0.0058	0.0029	0.0174	0.9301	0.0293	0.0145							HN-S	0.995	HN-S	0.995	HN-S	0.8
(;￣д￣)	HN-S	0.4756	3		0				1	True	0.0048	0.0048	0.4066	0.4756	0.0962	0.012							HN-S	0.69	HN-D	0.515	HN-D	0.396
(=^-^=)	LN	0.4648	2	LP	6	0.3379	0.5125	False	6	False	0.0006	0.0001	0.4645	0.0613	0.4648	0.0088	0.0	0.3333	0.0	0.1667	0.3333	0.1667	LN	0.665	HN-D	0.662		
(=^-ω-^=)	HN-D	0.4771	2	NB	22	0.1967	0.7162	False	22	False	0.0701	0.0017	0.4771	0.0828	0.3378	0.0305	0.0909	0.1818	0.1364	0.1818	0.1364	0.2727	LN	0.51	HN-D	0.561		
(=^-ω^-=)	LN	0.5265	2		0				1	False	0.0072	0.0002	0.4358	0.0301	0.5265	0.0002							LN	0.754	HN-D	0.658		
(=^_^=)	NB	0.4209	2		0				2	False	0.2487	0.0016	0.0292	0.0402	0.2593	0.4209							LN	0.513	NB	0.635		
(=^・^=)	NB	0.8631	2		0				1	False	0.1146	0.0031	0.0143	0.0047	0.0002	0.8631							NB	0.753	NB	0.973		
(=^・ω・^=)	HN-D	0.4924	2	LP	19	0.3868	0.4419	False	19	False	0.1741	0.0208	0.4924	0.0424	0.0062	0.264	0.0	0.6842	0.0526	0.0	0.0526	0.2105	HN-D	0.593	NB	0.444		
(=^・ｪ・^=)	NB	0.5516	2		0				0	False	0.2789	0.006	0.1484	0.0145	0.0005	0.5516							HP	0.506	NB	0.833		
(=`ω´=)	HN-D	0.9662	2		0				0	False	0.0001	0.0	0.9662	0.0279	0.0056	0.0002							HN-D	0.954	HN-D	0.978		
(=ↀωↀ=)	HN-D	0.8187	2		0				1	False	0.0468	0.0014	0.8187	0.0891	0.0155	0.0284							HN-D	0.769	HN-D	0.868		
(=⌒‿‿⌒=)	LN	0.9205	2		0				0	False	0.0005	0.0029	0.0644	0.0085	0.9205	0.0031							LN	0.959	LN	0.882		
(>^_^)	HP	0.9999	2		0				1	False	0.9999	0.0	0.0	0.0	0.0	0.0							HP	1.0	HP	1.0		
(>_<)	HN-S	0.4631	3	HN-S	45	0.0594	0.9143	True	45	True	0.0246	0.0043	0.4102	0.4631	0.0868	0.0109	0.0	0.0444	0.1778	0.7111	0.0444	0.0222	HN-S	0.806	HN-D	0.789	HN-S	0.39
(>_<;)	HN-S	0.7391	3	HN-S	14	0.1002	0.8554	True	14	True	0.0045	0.0045	0.1769	0.7391	0.0681	0.0068	0.0	0.0	0.0	1.0	0.0	0.0	HN-S	0.967	HN-S	0.672	HN-S	0.578
(>ω<)	HP	0.9997	2		0				0	False	0.9997	0.0	0.0	0.0001	0.0	0.0002							HP	0.999	HP	1.0		
(>ω<*	HP	0.9999	2		0				1	False	0.9999	0.0	0.0001	0.0	0.0	0.0							HP	1.0	HP	1.0		
(>‿◠)	HP	0.9986	2	HN-S	3	0.6931	0.0	False	3	False	0.9986	0.0007	0.0	0.0	0.0	0.0007	0.0	0.0	0.0	0.6667	0.3333	0.0	HP	0.998	HP	1.0		
(>‿◼︵◼<)	HP	0.9793	2		0				1	False	0.9793	0.0154	0.0	0.0	0.0	0.0053							HP	0.977	HP	0.981		
(>∀<☆)	HP	0.8494	3	HP	14	0.0552	0.9203	True	14	True	0.8494	0.129	0.0043	0.0043	0.0022	0.0108	1.0	0.0	0.0	0.0	0.0	0.0	HP	1.0	HP	1.0	HP	0.548
(>﹏<)	HN-S	0.624	3	HN-S	29	0.0253	0.9634	True	29	True	0.0469	0.0065	0.2215	0.624	0.0969	0.0043	0.0345	0.0	0.1379	0.5862	0.2414	0.0	HN-S	0.908	HN-S	0.461	HN-S	0.503
(>﹏<｡)	HN-S	0.6087	2	HN-S	7	0.1596	0.7697	True	7	False	0.3614	0.0	0.0299	0.6087	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	HN-S	0.697	HN-S	0.52		
(O_O)	HN-S	0.833	2		0				1	False	0.0004	0.0	0.1426	0.833	0.0002	0.0238							HN-S	0.843	HN-S	0.823		
(OwO)	NB	0.816	2		0				1	False	0.044	0.0183	0.0161	0.1032	0.0024	0.816							NB	0.807	NB	0.825		
(T-T)	HP	0.5991	2	LN	8	0.5818	0.1607	False	8	False	0.5991	0.005	0.0451	0.1477	0.0057	0.1973	0.0	0.0	0.0	0.125	0.875	0.0	HP	0.696	HP	0.503		
(T^T)	HP	0.5527	2		0				1	False	0.5527	0.0917	0.0	0.0003	0.0001	0.3551							NB	0.508	HP	0.63		
(T_T)	HN-S	0.6916	2	LN	22	0.2458	0.6453	False	22	False	0.0003	0.0004	0.1094	0.6916	0.1826	0.0156	0.0	0.0	0.0909	0.0909	0.8182	0.0	HN-S	0.844	HN-S	0.54		
(T▽T)	HP	0.9974	2		0				2	False	0.9974	0.0006	0.0	0.0	0.0	0.002							HP	0.997	HP	0.997		
(^	NB	0.5877	2		0				0	False	0.1062	0.2925	0.0001	0.0032	0.0102	0.5877							NB	0.698	NB	0.478		
(^-^)	NB	0.9433	2	LP	37	0.2047	0.7046	False	37	False	0.012	0.0443	0.0	0.0	0.0004	0.9433	0.0	0.4595	0.027	0.0	0.1081	0.4054	NB	0.978	NB	0.908		
(^.^)	NB	0.8728	2		0				2	False	0.0004	0.1133	0.0	0.0037	0.0098	0.8728							NB	0.86	NB	0.885		
(^^)	NB	0.9479	2		0				2	False	0.0012	0.0506	0.0	0.0	0.0003	0.9479							NB	0.952	NB	0.943		
(^_^)	NB	0.5502	2	NB	44	0.0865	0.8752	True	44	False	0.4419	0.0078	0.0	0.0	0.0	0.5502	0.1591	0.1818	0.0	0.0	0.0	0.6591	NB	0.852	HP	0.741		
(^_^;)	HN-S	0.516	2		0				2	False	0.0	0.0001	0.0276	0.516	0.0467	0.4095							HN-S	0.813	NB	0.736		
(^_~)	NB	0.5392	2		0				1	False	0.3991	0.0617	0.0	0.0	0.0	0.5392							NB	0.931	HP	0.749		
(^_−)	HP	0.7102	2	NB	3	0.3862	0.4428	False	3	False	0.7102	0.0076	0.0	0.0	0.0001	0.2821	0.0	0.3333	0.0	0.0	0.0	0.6667	NB	0.537	HP	0.966		
(^o^)	HP	0.7125	3	HP	9	0.0105	0.9848	True	9	True	0.7125	0.1322	0.0029	0.0209	0.0023	0.1292	0.7778	0.1111	0.0	0.0	0.0	0.1111	HP	0.663	HP	0.923	HP	0.552
(^ω^)	NB	0.6373	3		0				2	True	0.1158	0.2335	0.0041	0.0052	0.0041	0.6373							NB	0.954	NB	0.867	LP	0.542
(^‿^)	LP	0.5978	3	LP	16	0.004	0.9942	True	16	True	0.082	0.5978	0.0023	0.0023	0.0046	0.311	0.0625	0.625	0.0	0.0	0.0	0.3125	NB	0.545	LP	0.714	LP	0.625
(^▽^)	HP	0.4184	3	NB	17	0.0279	0.9597	False	17	True	0.4184	0.2712	0.002	0.002	0.002	0.3044	0.2941	0.1765	0.0	0.0	0.0	0.5294	NB	0.7	HP	0.713	LP	0.506
(^・ω・^)	NB	0.7759	2		0				2	False	0.0069	0.2167	0.0	0.0005	0.0	0.7759							NB	0.803	NB	0.749		
(__)	NB	0.4523	2		0				1	False	0.0137	0.2993	0.0055	0.0971	0.1321	0.4523							NB	0.415	NB	0.489		
(`_´)	LN	0.826	2		0				0	False	0.0	0.0	0.1355	0.0101	0.826	0.0284							LN	0.964	LN	0.688		
(`ε´)	HN-D	0.8788	3		0				1	True	0.0056	0.0083	0.8788	0.0237	0.0561	0.0276							HN-D	0.995	HN-D	0.997	HN-D	0.645
(`⇧´)	HP	0.9151	2		0				2	False	0.9151	0.0173	0.044	0.0077	0.0054	0.0106							HP	0.91	HP	0.92		
(`⌒´)	LN	0.8083	2	HP	7	0.6931	0.0001	False	7	False	0.0	0.0003	0.1721	0.01	0.8083	0.0094	1.0	0.0	0.0	0.0	0.0	0.0	LN	0.98	LN	0.637		
(`⌒´メ)	LN	0.5803	2	HP	5	0.6931	0.0	False	5	False	0.0	0.0	0.4175	0.0022	0.5803	0.0	1.0	0.0	0.0	0.0	0.0	0.0	LN	0.966	HN-D	0.803		
(`◇´)	HN-D	0.6894	2		0				1	False	0.0188	0.003	0.6894	0.1659	0.119	0.0039							HN-D	0.592	HN-D	0.787		
(`へ´)	HN-D	0.4447	2		0				0	False	0.0062	0.0816	0.4447	0.0376	0.2649	0.165							LN	0.439	HN-D	0.692		
(`・ω・´)	HN-D	0.4117	3		0				2	True	0.077	0.0957	0.4117	0.2659	0.0154	0.1343							HN-D	0.548	HN-D	0.592	NB	0.35
(o>ω<o)	HP	0.9966	2		0				1	False	0.9966	0.0006	0.0	0.0	0.0	0.0028							HP	0.994	HP	1.0		
(o^^o)	NB	0.928	2	NB	12	0.0571	0.9177	True	12	False	0.0246	0.0474	0.0	0.0	0.0	0.928	0.0833	0.25	0.0	0.0	0.0	0.6667	NB	0.978	NB	0.878		
(o^_^o)	NB	0.9235	2	NB	6	0.078	0.8875	True	6	False	0.0724	0.003	0.0	0.0005	0.0006	0.9235	0.0	0.1667	0.0	0.0	0.0	0.8333	NB	0.972	NB	0.875		
(o^▽^o)	HP	0.7596	2		0				2	False	0.7596	0.0069	0.0	0.0	0.0	0.2334							HP	0.534	HP	0.985		
(o_o)	HN-S	0.9199	2	NB	24	0.5928	0.1447	False	24	False	0.0	0.0	0.023	0.9199	0.0322	0.0249	0.0	0.0	0.0	0.0	0.1667	0.8333	HN-S	0.993	HN-S	0.847		
(o°ω°o)	HN-S	0.5179	2		0				1	False	0.4114	0.0001	0.0127	0.5179	0.0012	0.0568							HN-S	0.942	HP	0.795		
(~^▽^)~	LP	0.5272	2		0				1	False	0.3605	0.5272	0.0	0.0	0.0	0.1122							HP	0.718	LP	0.949		
( *▽)	HP	0.9964	2		0				1	False	0.9964	0.0003	0.0	0.0002	0.0	0.003							HP	0.994	HP	0.999		
(¬_¬)	HN-D	0.7831	3	HN-D	15	0.033	0.9524	True	15	True	0.0023	0.0047	0.7831	0.031	0.0715	0.1075	0.0	0.0	0.6667	0.0	0.0667	0.2667	HN-D	0.942	HN-D	0.918	HN-D	0.49
(¬‿¬)	NB	0.7512	3	NB	22	0.0907	0.8692	True	22	True	0.0387	0.1203	0.0641	0.0128	0.0128	0.7512	0.0	0.0	0.0455	0.0455	0.1364	0.7727	NB	0.991	NB	0.993	LP	0.346
(¬､¬)	NB	0.5771	2		0				0	False	0.0	0.0006	0.353	0.0683	0.001	0.5771							NB	0.615	NB	0.54		
(¯_¯)	NB	0.9843	2		0				1	False	0.0	0.0014	0.0049	0.0066	0.0027	0.9843							NB	0.974	NB	0.994		
(¯`·._.·(¯)	NB	0.9979	2		0				1	False	0.0	0.0002	0.0016	0.0002	0.0001	0.9979							NB	0.998	NB	0.997		
(¯`·._.·(¯)___)	NB	0.9966	2		0				1	False	0.0	0.001	0.0016	0.0007	0.0001	0.9966							NB	0.994	NB	0.999		
(¯`・.¸)	NB	0.9911	2		0				1	False	0.0003	0.0038	0.0012	0.0036	0.0	0.9911							NB	0.986	NB	0.996		
(¯`・.｡)	NB	0.9844	2		0				1	False	0.0003	0.0016	0.0046	0.0091	0.0	0.9844							NB	0.989	NB	0.98		
(¯³¯)	NB	0.6477	3		0				1	True	0.0142	0.139	0.0857	0.0285	0.0849	0.6477							NB	0.832	NB	0.944	LP	0.292
(¯―¯٥)	NB	0.5773	3		0				1	True	0.0026	0.0382	0.0475	0.1238	0.2106	0.5773							NB	0.816	NB	0.763	LN	0.534
(¯‿¯)	NB	0.781	3		0				1	True	0.0122	0.1411	0.0365	0.0049	0.0243	0.781							NB	0.983	NB	0.995	LP	0.401
(¯▽¯)	NB	0.9911	2		0				1	False	0.0064	0.0025	0.0	0.0	0.0	0.9911							NB	0.986	NB	0.997		
(¯︎_¯︎)	NB	0.9996	2		0				0	False	0.0	0.0003	0.0	0.0	0.0	0.9996							NB	0.999	NB	1.0		
(¯︵¯)	NB	0.6075	2		0				1	False	0.0006	0.002	0.2591	0.0745	0.0563	0.6075							NB	0.586	NB	0.629		
(¯︿¯)	NB	0.6653	2	LN	3	0.5639	0.1864	False	3	False	0.0	0.0009	0.2043	0.0596	0.07	0.6653	0.0	0.0	0.0	0.0	1.0	0.0	NB	0.468	NB	0.863		
(¯﹃¯)	NB	0.7613	3		0				1	True	0.0292	0.1678	0.006	0.0062	0.0294	0.7613							NB	0.979	NB	0.998	LP	0.482
(¯﹏¯)	NB	0.5228	2		0				1	False	0.0001	0.0008	0.0461	0.3795	0.0507	0.5228							HN-S	0.601	NB	0.77		
(°	NB	0.3623	3		0				1	True	0.0957	0.0403	0.091	0.3574	0.0533	0.3623							HN-S	0.475	HN-S	0.397	NB	0.4
(°_°;)	HN-S	0.9914	2		0				1	False	0.0	0.0	0.0018	0.9914	0.0001	0.0067							HN-S	0.999	HN-S	0.984		
(°д°)	HN-D	0.6374	2	HN-S	5	0.0289	0.9584	False	5	False	0.0007	0.0	0.6374	0.3618	0.0	0.0001	0.0	0.0	0.4	0.6	0.0	0.0	HN-S	0.538	HN-D	0.813		
(°д°;)	HN-D	0.7422	2	HN-D	4	0.033	0.9524	True	4	False	0.0026	0.0	0.7422	0.2552	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	HN-D	0.652	HN-D	0.833		
(°□°)	HN-S	0.7253	2		0				0	False	0.0007	0.0	0.2736	0.7253	0.0	0.0003							HN-S	0.752	HN-S	0.699		
(°□°;)	HN-S	0.8918	3	HN-S	17	0.039	0.9437	True	17	True	0.0168	0.0058	0.0563	0.8918	0.0146	0.0146	0.0	0.0	0.0	1.0	0.0	0.0	HN-S	0.938	HN-S	0.93	HN-S	0.807
(°△°)	HN-D	0.7576	2		0				0	False	0.0	0.0	0.7576	0.2424	0.0	0.0							HN-D	0.658	HN-D	0.857		
(°▽°)	HP	0.731	3	HP	3	0.1037	0.8504	True	3	True	0.731	0.1533	0.0019	0.0039	0.0019	0.108	1.0	0.0	0.0	0.0	0.0	0.0	HP	0.793	HP	0.997	LP	0.46
(°◇°)	HN-S	0.8911	2	NB	7	0.67	0.0334	False	7	False	0.0116	0.0	0.0883	0.8911	0.0	0.009	0.0	0.4286	0.0	0.0	0.0	0.5714	HN-S	0.919	HN-S	0.863		
(°〇°)	HN-S	0.492	3	HP	8	0.2982	0.5698	False	8	True	0.363	0.0123	0.028	0.492	0.0247	0.08	1.0	0.0	0.0	0.0	0.0	0.0	HN-S	0.754	HP	0.782	HN-S	0.519
(°ロ°)	HN-S	0.8698	3	HN-S	4	0.0474	0.9316	True	4	True	0.0143	0.0057	0.0532	0.8698	0.0142	0.0428	0.0	0.0	0.0	1.0	0.0	0.0	HN-S	0.934	HN-S	0.949	HN-S	0.726
(°ヮ°)	HP	0.4925	2		0				0	False	0.4925	0.0	0.0034	0.0131	0.0	0.4909							NB	0.86	HP	0.869		
(°ー°ll)	HN-D	0.6441	2		0				1	False	0.0184	0.0003	0.6441	0.2853	0.0	0.0519							HN-D	0.557	HN-D	0.731		
(°ー°|||)	HN-S	0.8226	2		0				1	False	0.0086	0.0	0.1624	0.8226	0.0	0.0064							HN-S	0.894	HN-S	0.751		
(°ー°〃)	HP	0.3815	2	LN	4	0.5091	0.2655	False	4	False	0.3815	0.0078	0.1936	0.186	0.0	0.2312	0.0	0.25	0.0	0.0	0.5	0.25	NB	0.442	HP	0.735		
(´	LN	0.6218	2		0				0	False	0.0072	0.3022	0.0136	0.0039	0.6218	0.0513							LN	0.68	LN	0.563		
(´-_-`)	LN	0.7305	3	LN	4	0.1039	0.8501	True	4	True	0.0025	0.0131	0.1389	0.0128	0.7305	0.102	0.0	0.0	0.0	0.0	1.0	0.0	LN	0.936	LN	0.721	LN	0.534
(´-`)	LN	0.7653	3	LN	52	0.0897	0.8705	True	52	True	0.0049	0.0612	0.0218	0.0122	0.7653	0.1347	0.0	0.0	0.0	0.0577	0.9423	0.0	LN	0.982	LN	0.985	NB	0.401
(´-ω-`)	LN	0.8428	3	LN	9	0.1048	0.8488	True	9	True	0.0026	0.041	0.0136	0.0132	0.8428	0.0868	0.1111	0.0	0.0	0.1111	0.7778	0.0	LN	0.996	LN	0.977	LN	0.556
(´-﹏-`;)	LN	0.7751	3	LN	5	0.0851	0.8773	True	5	True	0.0022	0.011	0.0217	0.1568	0.7751	0.0331	0.0	0.0	0.0	0.0	1.0	0.0	LN	0.984	LN	0.977	HN-S	0.464
(´;ω;`)	LN	0.9261	3	LN	48	0.0445	0.9358	True	48	True	0.0028	0.0141	0.0061	0.0425	0.9261	0.0085	0.0	0.0	0.0417	0.1875	0.7708	0.0	LN	0.999	LN	0.999	LN	0.78
(´_ゝ`)	LN	0.8162	2		0				0	False	0.0	0.0	0.1787	0.0038	0.8162	0.0013							LN	0.906	LN	0.727		
(´`;ω;´)	LN	0.9949	2		0				1	False	0.0	0.0	0.0025	0.0026	0.9949	0.0							LN	0.996	LN	0.994		
(´~`)	LN	0.7908	3		0				1	True	0.0051	0.0257	0.0393	0.0255	0.7908	0.1137							LN	0.998	LN	0.995	LN	0.379
(´°̥̥̥̥̥̥	LN	0.8471	3	HN-D	3	0.1947	0.7192	False	3	True	0.0029	0.0144	0.0063	0.1208	0.8471	0.0086	0.0	0.0	0.3333	0.3333	0.3333	0.0	LN	0.936	LN	0.829	LN	0.776
(´°ω°`)	HN-D	0.9233	2		0				0	False	0.0	0.0	0.9233	0.0327	0.044	0.0							HN-D	0.923	HN-D	0.923		
(´·_·`)	LN	0.7735	3	HN-S	3	0.6298	0.0914	False	3	True	0.0025	0.0127	0.1042	0.0275	0.7735	0.0795	0.0	0.0	0.0	1.0	0.0	0.0	LN	0.85	LN	0.86	LN	0.611
(´˘`)	LP	0.7318	3	LP	7	0.1034	0.8508	True	7	True	0.0157	0.7318	0.003	0.0029	0.1823	0.0643	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.83	LP	0.532	LP	0.833
(´ε`)	LN	0.4495	3		0				1	True	0.0404	0.3764	0.0849	0.0055	0.4495	0.0432							LN	0.556	LN	0.752	LP	0.685
(´ω`	LP	0.6116	2		0				0	False	0.0	0.6116	0.0008	0.0002	0.2803	0.1072							LP	0.518	LP	0.706		
(´ω`)	LP	0.5385	3	LN	55	0.1557	0.7754	False	55	True	0.0249	0.5385	0.0054	0.005	0.3218	0.1044	0.0727	0.2182	0.1636	0.2	0.3091	0.0364	LN	0.597	LP	0.605	LP	0.634
(´ω`♡)	LN	0.5983	3	LP	4	0.1023	0.8524	False	4	True	0.042	0.3322	0.008	0.0043	0.5983	0.0152	0.0	0.75	0.0	0.0	0.25	0.0	LN	0.906	LN	0.872	LP	0.798
(´д`)	HN-D	0.7755	2		0				1	False	0.0	0.0	0.7755	0.0166	0.2078	0.0							HN-D	0.567	HN-D	0.984		
(´д`;)	HN-D	0.6014	2		0				0	False	0.0	0.0	0.6014	0.0519	0.3468	0.0							LN	0.628	HN-D	0.901		
(´ུ`っ)	LN	0.6864	2		0				1	False	0.0	0.0001	0.188	0.1255	0.6864	0.0							LN	0.687	LN	0.686		
(´‿`)	LP	0.8365	3		0				1	True	0.0254	0.8365	0.0025	0.0025	0.008	0.125							LP	0.931	LP	0.876	LP	0.702
(´∀`)	LN	0.5927	3	LP	9	0.3122	0.5496	False	9	True	0.0622	0.2837	0.0171	0.0045	0.5927	0.0398	0.1111	0.8889	0.0	0.0	0.0	0.0	LN	0.913	LN	0.85	LP	0.672
(´∀`;)	LN	0.9896	2		0				0	False	0.0	0.0041	0.0056	0.0006	0.9896	0.0							LN	0.996	LN	0.983		
(´∇`)	LP	0.7731	2	HP	5	0.461	0.3349	False	5	False	0.0846	0.7731	0.0329	0.0014	0.0964	0.0116	0.4	0.0	0.0	0.0	0.2	0.4	LP	0.863	LP	0.683		
(´∡`✿)	HN-D	0.3686	3		0				1	True	0.0385	0.2188	0.3686	0.1837	0.1346	0.0558							HN-D	0.555	HN-D	0.536	LP	0.654
